municipality,equipment_id,equipment_name,procurement_category,requirement_score,is_needed,required_quantity
Mumbai,E037,Sewer Cleaning Robot,Sewerage,33.54,1,2
Mumbai,E038,Portable Sludge Pump,Sewerage,63.49,1,8
Mumbai,E039,Drain Rodding Machine,Sewerage,47.89,1,7
Mumbai,E040,Underground Pipe Locator,Sewerage,46.12,1,7
Mumbai,E041,Drain Cleaning Machine,Drainage,51.35,1,7
Mumbai,E042,Portable Dewatering Pump,Drainage,51.35,1,10
Mumbai,E043,High Capacity Pump Set,Drainage,51.35,1,5
Mumbai,E044,Storm Water Pump,Drainage,51.35,1,6
Mumbai,E045,Submersible Pump Unit,Drainage,51.35,1,9
Mumbai,E046,Canal Desilting Machine,Drainage,51.35,1,7
Mumbai,E047,Portable Flood Barrier Unit,Drainage,31.1,1,7
Mumbai,E048,Emergency Drainage Vehicle,Drainage,51.35,1,7
Mumbai,E049,Drain Excavation Unit,Drainage,44.17,1,6
Mumbai,E050,Portable Sandbag Filling Machine,Drainage,31.1,1,9
Mumbai,E051,Drain Jetting Machine,Drainage,51.35,1,6
Mumbai,E052,Drain Inspection Camera,Drainage,51.35,1,7
Mumbai,E053,Portable Mud Suction Unit,Drainage,51.35,1,11
Mumbai,E054,Drain Clearing Robot,Drainage,51.35,1,5
Mumbai,E055,Portable Emergency Pump,Drainage,31.1,1,11
Mumbai,E056,Flood Recovery Vehicle,Drainage,51.35,1,4
Mumbai,E057,Storm Drain Vacuum Cleaner,Drainage,51.35,1,7
Mumbai,E058,Portable Water Diversion Unit,Drainage,31.1,1,7
Mumbai,E059,Chassis Mounted Water Tanker,Water Supply,30.88,1,8
Mumbai,E060,Water Tanker,Water Supply,30.88,1,10
Mumbai,E061,Pipeline Leakage Detector,Water Supply,30.88,1,9
Mumbai,E062,Portable Chlorination Unit,Water Supply,30.88,1,8
Mumbai,E063,Water Pumping Station Motor,Water Supply,30.88,1,5
Mumbai,E064,Valve Testing Machine,Water Supply,30.88,1,9
Mumbai,E065,Pipe Pressure Monitoring Unit,Water Supply,30.88,1,11
Mumbai,E066,Water Quality Testing Kit,Water Supply,41.0,1,8
Mumbai,E067,Borewell Cleaning Machine,Water Supply,30.88,1,8
Mumbai,E068,Portable Water Storage Tank,Water Supply,30.88,1,9
Mumbai,E069,Pipeline Repair Vehicle,Water Supply,30.88,1,7
Mumbai,E070,Portable Pump Controller,Water Supply,30.88,1,11
Mumbai,E071,Water Meter Calibration Unit,Water Supply,30.88,1,11
Mumbai,E072,Pipeline Inspection Camera,Water Supply,30.88,1,6
Mumbai,E073,Reservoir Cleaning Machine,Water Supply,30.88,1,9
Mumbai,E074,Water Purification Mobile Unit,Water Supply,56.0,1,6
Mumbai,E075,Portable Pipeline Flusher,Water Supply,30.88,1,8
Mumbai,E076,Hydraulic Pipe Cutter,Water Supply,42.98,1,8
Mumbai,E077,Portable Water Pump Unit,Water Supply,30.88,1,7
Mumbai,E078,Emergency Water Supply Vehicle,Water Supply,45.88,1,5
Mumbai,E079,Smart Water Monitoring Sensor,Water Supply,30.88,1,10
Mumbai,E080,Water Pipeline Maintenance Kit,Water Supply,30.88,1,10
Mumbai,E081,Hydraulic Excavator,Road Infra,78.29,1,7
Mumbai,E082,Mini Excavator,Road Infra,78.29,1,7
Mumbai,E083,Backhoe Loader,Road Infra,91.54,1,5
Mumbai,E084,Wheel Loader,Road Infra,78.29,1,4
Mumbai,E085,Track Mounted Excavator,Road Infra,73.54,1,4
Mumbai,E086,Road Roller,Road Infra,63.94,1,7
Mumbai,E087,Vibratory Road Roller,Road Infra,63.94,1,4
Mumbai,E088,Asphalt Paver Machine,Road Infra,63.94,1,2
Mumbai,E089,Concrete Mixer Machine,Road Infra,60.29,1,8
Mumbai,E090,Concrete Vibrator,Road Infra,60.29,1,7
Mumbai,E091,Asphalt Cutter,Road Infra,63.94,1,10
Mumbai,E092,Road Marking Machine,Road Infra,62.04,1,10
Mumbai,E093,Concrete Cutting Machine,Road Infra,60.29,1,11
Mumbai,E094,Crack Sealing Machine,Road Infra,63.94,1,7
Mumbai,E095,Tipper Truck,Road Infra,91.54,1,7
Mumbai,E096,Dump Truck,Road Infra,91.54,1,7
Mumbai,E097,Tyre Mounted Mobile Crane,Road Infra,60.29,1,2
Mumbai,E098,Portable Concrete Pump,Road Infra,60.29,1,7
Mumbai,E099,Hydraulic Breaker,Road Infra,73.54,1,6
Mumbai,E100,Road Surface Milling Machine,Road Infra,63.94,1,3
Mumbai,E101,Portable Generator for Road Work,Road Infra,60.34,1,10
Mumbai,E102,Traffic Cone Deployment Unit,Road Infra,62.04,1,11
Mumbai,E103,Road Repair Patch Machine,Road Infra,63.94,1,6
Mumbai,E104,Curb Stone Laying Machine,Road Infra,60.29,1,11
Mumbai,E105,Pavement Compactor,Road Infra,63.94,1,4
Mumbai,E106,Diesel Generator Set,Electrical,38.93,1,4
Mumbai,E107,Portable Generator,Electrical,17.36,1,9
Mumbai,E108,Street Light Maintenance Lift,Electrical,41.36,1,4
Mumbai,E109,Transformer Maintenance Vehicle,Electrical,29.33,1,7
Mumbai,E110,Electric Cable Locator,Electrical,52.19,1,8
Mumbai,E111,Underground Fault Detector,Electrical,52.19,1,9
Mumbai,E112,Portable Tower Light,Electrical,9.6,0,0
Mumbai,E113,Smart Street Light Controller,Electrical,41.36,1,9
Mumbai,E114,Electrical Maintenance Van,Electrical,29.33,1,7
Mumbai,E115,Portable Solar Lighting Unit,Electrical,16.08,1,7
Mumbai,E116,Mobile Repair Van,Electrical,52.21,1,9
Mumbai,E117,Voltage Monitoring Device,Electrical,29.33,1,9
Mumbai,E118,Underground Cable Repair Kit,Electrical,52.19,1,11
Mumbai,E119,Portable Battery Backup Unit,Electrical,17.36,1,10
Mumbai,E120,Smart Utility Monitoring Console,Electrical,85.76,1,5
Mumbai,E121,Portable Toilet Unit,Sanitation,37.72,1,7
Mumbai,E122,Mobile Toilet Van,Sanitation,51.52,1,11
Mumbai,E123,Public Toilet Cleaning Machine,Sanitation,50.14,1,7
Mumbai,E124,High Pressure Washer,Sanitation,83.31,1,8
Mumbai,E125,Disinfection Sprayer Unit,Sanitation,51.52,1,11
Mumbai,E126,Fogging Machine,Sanitation,53.06,1,8
Mumbai,E127,Portable Cleaning Cart,Sanitation,70.61,1,7
Mumbai,E128,Manual Cleaning Trolley,Sanitation,70.61,1,7
Mumbai,E129,Portable Hand Wash Station,Sanitation,37.72,1,8
Mumbai,E130,Sanitary Waste Disposal Unit,Sanitation,150.76,1,7
Mumbai,E131,Portable Urinal Unit,Sanitation,37.72,1,9
Mumbai,E132,Public Washroom Maintenance Vehicle,Sanitation,50.14,1,9
Mumbai,E133,Drain Disinfection Unit,Sanitation,43.75,1,11
Mumbai,E134,Portable Steam Cleaning Machine,Sanitation,37.72,1,8
Mumbai,E135,Street Disinfection Vehicle,Sanitation,73.25,1,9
Mumbai,E136,Biohazard Disposal Container,Sanitation,155.2,1,10
Mumbai,E137,Portable Sanitation Kiosk,Sanitation,37.72,1,8
Mumbai,E138,Municipal Cleaning Utility Vehicle,Sanitation,83.31,1,11
Mumbai,E139,Fire Tender Vehicle,Emergency,76.82,1,2
Mumbai,E140,Portable Rescue Boat,Emergency,18.09,1,5
Mumbai,E141,Emergency Communication Van,Emergency,40.32,1,6
Mumbai,E142,Portable Medical Response Unit,Emergency,40.32,1,6
Mumbai,E143,Emergency Water Pump,Emergency,20.74,1,8
Mumbai,E144,Debris Removal Loader,Emergency,65.95,1,6
Mumbai,E145,Portable Lighting Tower,Emergency,10.8,0,0
Mumbai,E146,Emergency Generator Unit,Emergency,33.03,1,11
Mumbai,E147,Portable Emergency Shelter Unit,Emergency,18.09,1,6
Mumbai,E148,Hydraulic Rescue Cutter,Emergency,10.8,0,0
Mumbai,E149,Emergency Evacuation Vehicle,Emergency,66.06,1,4
Mumbai,E150,Portable Public Warning System,Emergency,31.59,1,11
Mumbai,E151,Flood Monitoring Sensor,Emergency,20.74,1,6
Mumbai,E152,Emergency Drone Surveillance Unit,Emergency,67.27,1,4
Mumbai,E153,Portable Life Support Kit,Emergency,31.59,1,11
Mumbai,E154,Disaster Recovery Crane,Emergency,65.95,1,4
Mumbai,E155,Emergency Ambulance Van,Emergency,66.06,1,4
Mumbai,E156,Portable Command Center Unit,Emergency,40.32,1,7
Mumbai,E157,Rapid Response Vehicle,Emergency,66.06,1,7
Mumbai,E158,Emergency Traffic Diversion Unit,Emergency,57.33,1,8
Mumbai,E159,Portable Search Light Unit,Emergency,10.8,0,0
Mumbai,E160,Disaster Supply Transport Vehicle,Emergency,66.06,1,4
Mumbai,E161,Sewage Treatment Plant Pump,Specialized,9.03,0,0
Mumbai,E162,Portable Laboratory Testing Unit,Specialized,61.11,1,7
Mumbai,E163,Air Quality Monitoring Station,Specialized,25.67,1,7
Mumbai,E164,Noise Pollution Monitoring Unit,Specialized,22.28,1,8
Mumbai,E165,Construction Debris Crusher,Specialized,41.19,1,6
Mumbai,E166,Smart Parking Monitoring Unit,Specialized,18.09,1,10
Mumbai,E167,Municipal Survey Drone,Specialized,40.91,1,5
Mumbai,E168,GIS Mapping Workstation,Specialized,36.71,1,7
Mumbai,E169,Portable Air Compressor,Specialized,17.58,0,0
Mumbai,E170,Industrial Pollution Response Unit,Specialized,4.19,0,0
Mumbai,E171,Smart Civic Monitoring Console,Specialized,33.33,1,7
Mumbai,E172,Portable Municipal Command Vehicle,Specialized,33.33,1,4
Mumbai,E173,Integrated Utility Maintenance Vehicle,Specialized,78.71,1,5
Delhi,E001,Garbage Compactor Truck,SWM,262.92,1,5
Delhi,E002,Mini Garbage Tipper,SWM,262.92,1,11
Delhi,E003,Refuse Collector Vehicle,SWM,262.92,1,5
Delhi,E004,Portable Waste Compactor,SWM,262.92,1,7
Delhi,E005,Mechanical Road Sweeper,SWM,98.42,1,6
Delhi,E006,Vacuum Road Sweeper,SWM,98.42,1,6
Delhi,E007,Dumper Placer Vehicle,SWM,262.92,1,7
Delhi,E008,Waste Collection Container,SWM,262.92,1,8
Delhi,E009,Hydraulic Waste Loader,SWM,262.92,1,9
Delhi,E010,Transfer Station Container,SWM,262.92,1,11
Delhi,E011,Plastic Baler Machine,SWM,280.21,1,11
Delhi,E012,Organic Waste Shredder,SWM,262.92,1,7
Delhi,E013,Bio Waste Composting Machine,SWM,262.92,1,9
Delhi,E014,Portable Garbage Bin Set,SWM,273.0,1,9
Delhi,E015,Skid Steer Loader,SWM,294.22,1,5
Delhi,E016,Waste Conveyor Belt Unit,SWM,262.92,1,8
Delhi,E017,Industrial Waste Crusher,SWM,248.29,1,6
Delhi,E018,Dumpster Container,SWM,262.92,1,11
Delhi,E019,Front Loader Waste Vehicle,SWM,262.92,1,6
Delhi,E020,Waste Segregation Conveyor,SWM,262.92,1,7
Delhi,E021,Leaf Collection Vacuum Unit,SWM,98.42,1,8
Delhi,E022,Portable Bin Lifter,SWM,262.92,1,10
Delhi,E023,Waste Hopper Unit,SWM,262.92,1,11
Delhi,E024,Biomedical Waste Carrier,SWM,262.92,1,5
Delhi,E025,Municipal Waste Crane,SWM,280.21,1,5
Delhi,E026,Street Cleaning Cart,SWM,98.42,1,10
Delhi,E027,Waste Transfer Trailer,SWM,262.92,1,4
Delhi,E028,Mobile Waste Collection Unit,SWM,262.92,1,11
Delhi,E029,Truck Mounted Suction Cum Jetting Machine,Sewerage,57.56,1,4
Delhi,E030,Sewer Jetting Machine,Sewerage,57.56,1,5
Delhi,E031,High Pressure Sewer Cleaner,Sewerage,57.56,1,5
Delhi,E032,Root Cutting System for Sewer Line,Sewerage,43.84,1,9
Delhi,E033,Sewer Inspection Camera,Sewerage,43.84,1,7
Delhi,E034,Portable Pipeline CCTV Unit,Sewerage,43.84,1,7
Delhi,E035,Vacuum Sludge Tanker,Sewerage,57.56,1,4
Delhi,E036,Manhole Desilting Machine,Sewerage,57.56,1,7
Delhi,E037,Sewer Cleaning Robot,Sewerage,43.84,1,3
Delhi,E038,Portable Sludge Pump,Sewerage,66.34,1,7
Delhi,E039,Drain Rodding Machine,Sewerage,57.56,1,8
Delhi,E040,Underground Pipe Locator,Sewerage,56.85,1,9
Delhi,E041,Drain Cleaning Machine,Drainage,54.15,1,7
Delhi,E042,Portable Dewatering Pump,Drainage,54.15,1,9
Delhi,E043,High Capacity Pump Set,Drainage,54.15,1,7
Delhi,E044,Storm Water Pump,Drainage,54.15,1,7
Delhi,E045,Submersible Pump Unit,Drainage,54.15,1,8
Delhi,E046,Canal Desilting Machine,Drainage,54.15,1,5
Delhi,E047,Portable Flood Barrier Unit,Drainage,23.37,1,6
Delhi,E048,Emergency Drainage Vehicle,Drainage,54.15,1,6
Delhi,E049,Drain Excavation Unit,Drainage,36.88,1,5
Delhi,E050,Portable Sandbag Filling Machine,Drainage,23.37,1,8
Delhi,E051,Drain Jetting Machine,Drainage,54.15,1,5
Delhi,E052,Drain Inspection Camera,Drainage,54.15,1,6
Delhi,E053,Portable Mud Suction Unit,Drainage,54.15,1,8
Delhi,E054,Drain Clearing Robot,Drainage,54.15,1,7
Delhi,E055,Portable Emergency Pump,Drainage,23.37,1,7
Delhi,E056,Flood Recovery Vehicle,Drainage,54.15,1,6
Delhi,E057,Storm Drain Vacuum Cleaner,Drainage,54.15,1,7
Delhi,E058,Portable Water Diversion Unit,Drainage,23.37,1,9
Delhi,E059,Chassis Mounted Water Tanker,Water Supply,40.75,1,8
Delhi,E060,Water Tanker,Water Supply,40.75,1,10
Delhi,E061,Pipeline Leakage Detector,Water Supply,40.75,1,8
Delhi,E062,Portable Chlorination Unit,Water Supply,40.75,1,11
Delhi,E063,Water Pumping Station Motor,Water Supply,40.75,1,6
Delhi,E064,Valve Testing Machine,Water Supply,40.75,1,9
Delhi,E065,Pipe Pressure Monitoring Unit,Water Supply,40.75,1,10
Delhi,E066,Water Quality Testing Kit,Water Supply,49.75,1,9
Delhi,E067,Borewell Cleaning Machine,Water Supply,40.75,1,9
Delhi,E068,Portable Water Storage Tank,Water Supply,40.75,1,11
Delhi,E069,Pipeline Repair Vehicle,Water Supply,40.75,1,4
Delhi,E070,Portable Pump Controller,Water Supply,40.75,1,8
Delhi,E071,Water Meter Calibration Unit,Water Supply,40.75,1,9
Delhi,E072,Pipeline Inspection Camera,Water Supply,40.75,1,6
Delhi,E073,Reservoir Cleaning Machine,Water Supply,40.75,1,7
Delhi,E074,Water Purification Mobile Unit,Water Supply,58.19,1,7
Delhi,E075,Portable Pipeline Flusher,Water Supply,40.75,1,11
Delhi,E076,Hydraulic Pipe Cutter,Water Supply,53.26,1,10
Delhi,E077,Portable Water Pump Unit,Water Supply,40.75,1,11
Delhi,E078,Emergency Water Supply Vehicle,Water Supply,49.19,1,7
Delhi,E079,Smart Water Monitoring Sensor,Water Supply,40.75,1,8
Delhi,E080,Water Pipeline Maintenance Kit,Water Supply,40.75,1,8
Delhi,E081,Hydraulic Excavator,Road Infra,102.55,1,5
Delhi,E082,Mini Excavator,Road Infra,102.55,1,5
Delhi,E083,Backhoe Loader,Road Infra,115.22,1,4
Delhi,E084,Wheel Loader,Road Infra,102.55,1,7
Delhi,E085,Track Mounted Excavator,Road Infra,87.86,1,4
Delhi,E086,Road Roller,Road Infra,87.73,1,6
Delhi,E087,Vibratory Road Roller,Road Infra,87.73,1,6
Delhi,E088,Asphalt Paver Machine,Road Infra,87.73,1,3
Delhi,E089,Concrete Mixer Machine,Road Infra,75.19,1,9
Delhi,E090,Concrete Vibrator,Road Infra,75.19,1,10
Delhi,E091,Asphalt Cutter,Road Infra,87.73,1,8
Delhi,E092,Road Marking Machine,Road Infra,84.36,1,8
Delhi,E093,Concrete Cutting Machine,Road Infra,75.19,1,8
Delhi,E094,Crack Sealing Machine,Road Infra,87.73,1,7
Delhi,E095,Tipper Truck,Road Infra,115.22,1,6
Delhi,E096,Dump Truck,Road Infra,115.22,1,6
Delhi,E097,Tyre Mounted Mobile Crane,Road Infra,75.19,1,4
Delhi,E098,Portable Concrete Pump,Road Infra,75.19,1,8
Delhi,E099,Hydraulic Breaker,Road Infra,87.86,1,5
Delhi,E100,Road Surface Milling Machine,Road Infra,87.73,1,3
Delhi,E101,Portable Generator for Road Work,Road Infra,68.47,1,9
Delhi,E102,Traffic Cone Deployment Unit,Road Infra,84.36,1,9
Delhi,E103,Road Repair Patch Machine,Road Infra,87.73,1,5
Delhi,E104,Curb Stone Laying Machine,Road Infra,75.19,1,7
Delhi,E105,Pavement Compactor,Road Infra,87.73,1,5
Delhi,E106,Diesel Generator Set,Electrical,41.36,1,7
Delhi,E107,Portable Generator,Electrical,13.24,1,7
Delhi,E108,Street Light Maintenance Lift,Electrical,56.24,1,4
Delhi,E109,Transformer Maintenance Vehicle,Electrical,35.96,1,4
Delhi,E110,Electric Cable Locator,Electrical,68.37,1,7
Delhi,E111,Underground Fault Detector,Electrical,68.37,1,11
Delhi,E112,Portable Tower Light,Electrical,5.4,0,0
Delhi,E113,Smart Street Light Controller,Electrical,56.24,1,10
Delhi,E114,Electrical Maintenance Van,Electrical,35.96,1,6
Delhi,E115,Portable Solar Lighting Unit,Electrical,11.16,0,0
Delhi,E116,Mobile Repair Van,Electrical,68.2,1,9
Delhi,E117,Voltage Monitoring Device,Electrical,35.96,1,7
Delhi,E118,Underground Cable Repair Kit,Electrical,68.37,1,9
Delhi,E119,Portable Battery Backup Unit,Electrical,13.24,1,10
Delhi,E120,Smart Utility Monitoring Console,Electrical,96.54,1,5
Delhi,E121,Portable Toilet Unit,Sanitation,45.77,1,7
Delhi,E122,Mobile Toilet Van,Sanitation,53.53,1,10
Delhi,E123,Public Toilet Cleaning Machine,Sanitation,58.33,1,9
Delhi,E124,High Pressure Washer,Sanitation,104.26,1,7
Delhi,E125,Disinfection Sprayer Unit,Sanitation,53.53,1,11
Delhi,E126,Fogging Machine,Sanitation,54.41,1,10
Delhi,E127,Portable Cleaning Cart,Sanitation,92.12,1,10
Delhi,E128,Manual Cleaning Trolley,Sanitation,92.12,1,7
Delhi,E129,Portable Hand Wash Station,Sanitation,45.77,1,9
Delhi,E130,Sanitary Waste Disposal Unit,Sanitation,224.25,1,7
Delhi,E131,Portable Urinal Unit,Sanitation,45.77,1,10
Delhi,E132,Public Washroom Maintenance Vehicle,Sanitation,58.33,1,10
Delhi,E133,Drain Disinfection Unit,Sanitation,46.13,1,10
Delhi,E134,Portable Steam Cleaning Machine,Sanitation,45.77,1,9
Delhi,E135,Street Disinfection Vehicle,Sanitation,88.61,1,8
Delhi,E136,Biohazard Disposal Container,Sanitation,230.17,1,10
Delhi,E137,Portable Sanitation Kiosk,Sanitation,45.77,1,10
Delhi,E138,Municipal Cleaning Utility Vehicle,Sanitation,104.26,1,8
Delhi,E139,Fire Tender Vehicle,Emergency,89.28,1,3
Delhi,E140,Portable Rescue Boat,Emergency,12.55,1,6
Delhi,E141,Emergency Communication Van,Emergency,41.9,1,7
Delhi,E142,Portable Medical Response Unit,Emergency,41.9,1,6
Delhi,E143,Emergency Water Pump,Emergency,15.58,1,10
Delhi,E144,Debris Removal Loader,Emergency,71.97,1,7
Delhi,E145,Portable Lighting Tower,Emergency,6.08,0,0
Delhi,E146,Emergency Generator Unit,Emergency,35.41,1,9
Delhi,E147,Portable Emergency Shelter Unit,Emergency,12.55,1,3
Delhi,E148,Hydraulic Rescue Cutter,Emergency,6.08,0,0
Delhi,E149,Emergency Evacuation Vehicle,Emergency,78.17,1,7
Delhi,E150,Portable Public Warning System,Emergency,33.08,1,8
Delhi,E151,Flood Monitoring Sensor,Emergency,15.58,1,10
Delhi,E152,Emergency Drone Surveillance Unit,Emergency,78.85,1,7
Delhi,E153,Portable Life Support Kit,Emergency,33.08,1,10
Delhi,E154,Disaster Recovery Crane,Emergency,71.97,1,3
Delhi,E155,Emergency Ambulance Van,Emergency,78.17,1,6
Delhi,E156,Portable Command Center Unit,Emergency,41.9,1,4
Delhi,E157,Rapid Response Vehicle,Emergency,78.17,1,6
Delhi,E158,Emergency Traffic Diversion Unit,Emergency,69.35,1,11
Delhi,E159,Portable Search Light Unit,Emergency,6.08,0,0
Delhi,E160,Disaster Supply Transport Vehicle,Emergency,78.17,1,6
Delhi,E161,Sewage Treatment Plant Pump,Specialized,11.8,0,0
Delhi,E162,Portable Laboratory Testing Unit,Specialized,83.52,1,4
Delhi,E163,Air Quality Monitoring Station,Specialized,32.43,1,10
Delhi,E164,Noise Pollution Monitoring Unit,Specialized,28.93,1,7
Delhi,E165,Construction Debris Crusher,Specialized,61.25,1,7
Delhi,E166,Smart Parking Monitoring Unit,Specialized,24.61,1,6
Delhi,E167,Municipal Survey Drone,Specialized,45.74,1,5
Delhi,E168,GIS Mapping Workstation,Specialized,43.38,1,7
Delhi,E169,Portable Air Compressor,Specialized,21.93,1,10
Delhi,E170,Industrial Pollution Response Unit,Specialized,4.32,0,0
Delhi,E171,Smart Civic Monitoring Console,Specialized,37.92,1,7
Delhi,E172,Portable Municipal Command Vehicle,Specialized,37.92,1,5
Delhi,E173,Integrated Utility Maintenance Vehicle,Specialized,103.49,1,7
Kolkata,E001,Garbage Compactor Truck,SWM,116.76,1,6
Kolkata,E002,Mini Garbage Tipper,SWM,116.76,1,10
Kolkata,E003,Refuse Collector Vehicle,SWM,116.76,1,6
Kolkata,E004,Portable Waste Compactor,SWM,116.76,1,10
Kolkata,E005,Mechanical Road Sweeper,SWM,51.8,1,5
Kolkata,E006,Vacuum Road Sweeper,SWM,51.8,1,6
Kolkata,E007,Dumper Placer Vehicle,SWM,116.76,1,5
Kolkata,E008,Waste Collection Container,SWM,116.76,1,11
Kolkata,E009,Hydraulic Waste Loader,SWM,116.76,1,11
Kolkata,E010,Transfer Station Container,SWM,116.76,1,7
Kolkata,E011,Plastic Baler Machine,SWM,130.41,1,8
Kolkata,E012,Organic Waste Shredder,SWM,116.76,1,10
Kolkata,E013,Bio Waste Composting Machine,SWM,116.76,1,7
Kolkata,E014,Portable Garbage Bin Set,SWM,128.24,1,11
Kolkata,E015,Skid Steer Loader,SWM,141.81,1,5
Kolkata,E016,Waste Conveyor Belt Unit,SWM,116.76,1,9
Kolkata,E017,Industrial Waste Crusher,SWM,122.85,1,7
Kolkata,E018,Dumpster Container,SWM,116.76,1,7
Kolkata,E019,Front Loader Waste Vehicle,SWM,116.76,1,4
Kolkata,E020,Waste Segregation Conveyor,SWM,116.76,1,11
Kolkata,E021,Leaf Collection Vacuum Unit,SWM,51.8,1,7
Kolkata,E022,Portable Bin Lifter,SWM,116.76,1,8
Kolkata,E023,Waste Hopper Unit,SWM,116.76,1,8
Kolkata,E024,Biomedical Waste Carrier,SWM,116.76,1,4
Kolkata,E025,Municipal Waste Crane,SWM,130.41,1,5
Kolkata,E026,Street Cleaning Cart,SWM,51.8,1,7
Kolkata,E027,Waste Transfer Trailer,SWM,116.76,1,4
Kolkata,E028,Mobile Waste Collection Unit,SWM,116.76,1,8
Kolkata,E029,Truck Mounted Suction Cum Jetting Machine,Sewerage,31.82,1,2
Kolkata,E030,Sewer Jetting Machine,Sewerage,31.82,1,7
Kolkata,E031,High Pressure Sewer Cleaner,Sewerage,31.82,1,4
Kolkata,E032,Root Cutting System for Sewer Line,Sewerage,19.19,1,9
Kolkata,E033,Sewer Inspection Camera,Sewerage,19.19,1,4
Kolkata,E034,Portable Pipeline CCTV Unit,Sewerage,19.19,1,5
Kolkata,E035,Vacuum Sludge Tanker,Sewerage,31.82,1,7
Kolkata,E036,Manhole Desilting Machine,Sewerage,31.82,1,5
Kolkata,E037,Sewer Cleaning Robot,Sewerage,19.19,1,2
Kolkata,E038,Portable Sludge Pump,Sewerage,49.57,1,9
Kolkata,E039,Drain Rodding Machine,Sewerage,31.82,1,7
Kolkata,E040,Underground Pipe Locator,Sewerage,29.77,1,8
Kolkata,E041,Drain Cleaning Machine,Drainage,38.84,1,4
Kolkata,E042,Portable Dewatering Pump,Drainage,38.84,1,7
Kolkata,E043,High Capacity Pump Set,Drainage,38.84,1,5
Kolkata,E044,Storm Water Pump,Drainage,38.84,1,7
Kolkata,E045,Submersible Pump Unit,Drainage,38.84,1,7
Kolkata,E046,Canal Desilting Machine,Drainage,38.84,1,7
Kolkata,E047,Portable Flood Barrier Unit,Drainage,31.55,1,9
Kolkata,E048,Emergency Drainage Vehicle,Drainage,38.84,1,5
Kolkata,E049,Drain Excavation Unit,Drainage,42.54,1,6
Kolkata,E050,Portable Sandbag Filling Machine,Drainage,31.55,1,9
Kolkata,E051,Drain Jetting Machine,Drainage,38.84,1,6
Kolkata,E052,Drain Inspection Camera,Drainage,38.84,1,5
Kolkata,E053,Portable Mud Suction Unit,Drainage,38.84,1,7
Kolkata,E054,Drain Clearing Robot,Drainage,38.84,1,5
Kolkata,E055,Portable Emergency Pump,Drainage,31.55,1,11
Kolkata,E056,Flood Recovery Vehicle,Drainage,38.84,1,4
Kolkata,E057,Storm Drain Vacuum Cleaner,Drainage,38.84,1,7
Kolkata,E058,Portable Water Diversion Unit,Drainage,31.55,1,11
Kolkata,E059,Chassis Mounted Water Tanker,Water Supply,18.5,1,9
Kolkata,E060,Water Tanker,Water Supply,18.5,1,6
Kolkata,E061,Pipeline Leakage Detector,Water Supply,18.5,1,7
Kolkata,E062,Portable Chlorination Unit,Water Supply,18.5,1,10
