municipality,equipment_id,equipment_name,demand,allocated,priority_score,cost
Indore,E002,Mini Garbage Tipper,2,2,45.2,3600000
Coimbatore,E002,Mini Garbage Tipper,2,2,44.6,3600000
Nagpur,E002,Mini Garbage Tipper,2,2,44.2,3600000
Faridabad,E002,Mini Garbage Tipper,2,2,43.5,3600000
Asansol,E002,Mini Garbage Tipper,2,2,43.2,3600000
Ludhiana,E002,Mini Garbage Tipper,2,2,42.8,3600000
Howrah,E002,Mini Garbage Tipper,2,2,42.6,3600000
Patna,E002,Mini Garbage Tipper,2,2,42.1,3600000
Agra,E002,Mini Garbage Tipper,2,2,40.8,3600000
Nashik,E002,Mini Garbage Tipper,2,2,40.4,3600000
Varanasi,E002,Mini Garbage Tipper,2,2,39.6,3600000
Madurai,E002,Mini Garbage Tipper,2,2,39.5,3600000
Amritsar,E002,Mini Garbage Tipper,1,1,37.7,1800000
Aurangabad,E002,Mini Garbage Tipper,1,1,37.4,1800000
Kochi,E002,Mini Garbage Tipper,1,1,37.18,1800000
Vijayawada,E002,Mini Garbage Tipper,1,1,36.7,1800000
Jabalpur,E002,Mini Garbage Tipper,1,1,36.4,1800000
Bhubaneswar,E002,Mini Garbage Tipper,1,1,36.3,1800000
Srinagar,E002,Mini Garbage Tipper,1,1,36.05,1800000
Raipur,E002,Mini Garbage Tipper,1,1,35.85,1800000
Mysuru,E002,Mini Garbage Tipper,1,1,35.8,1800000
Ranchi,E002,Mini Garbage Tipper,1,1,35.3,1800000
Jodhpur,E002,Mini Garbage Tipper,1,1,35.3,1800000
Siliguri,E002,Mini Garbage Tipper,1,1,35.2,1800000
Gwalior,E002,Mini Garbage Tipper,1,1,34.85,1800000
Guwahati,E002,Mini Garbage Tipper,1,1,34.75,1800000
Durgapur,E002,Mini Garbage Tipper,1,1,34.38,1800000
Dehradun,E002,Mini Garbage Tipper,1,1,34.35,1800000
Hubli,E002,Mini Garbage Tipper,1,1,33.95,1800000
Udaipur,E002,Mini Garbage Tipper,1,1,32.5,1800000
Kharagpur,E002,Mini Garbage Tipper,1,1,31.1,1800000
Tirupati,E002,Mini Garbage Tipper,1,1,31.05,1800000
Malda,E002,Mini Garbage Tipper,1,1,30.95,1800000
Haldia,E002,Mini Garbage Tipper,1,1,30.6,1800000
Shimla,E002,Mini Garbage Tipper,1,1,30.35,1800000
Panaji,E002,Mini Garbage Tipper,1,1,30.05,1800000
Delhi,E003,Refuse Collector Vehicle,20,7,181.0,22400000
Mumbai,E003,Refuse Collector Vehicle,14,5,130.5,16000000
Bengaluru,E003,Refuse Collector Vehicle,11,5,113.4,16000000
Chennai,E003,Refuse Collector Vehicle,10,4,107.1,12800000
Hyderabad,E003,Refuse Collector Vehicle,9,4,97.8,12800000
Kolkata,E003,Refuse Collector Vehicle,8,4,96.5,12800000
Ahmedabad,E003,Refuse Collector Vehicle,7,3,86.6,9600000
Pune,E003,Refuse Collector Vehicle,5,3,64.9,9600000
Surat,E003,Refuse Collector Vehicle,5,2,62.6,6400000
Lucknow,E003,Refuse Collector Vehicle,3,2,51.3,6400000
Jaipur,E003,Refuse Collector Vehicle,3,2,50.1,6400000
Thane,E003,Refuse Collector Vehicle,3,2,49.9,6400000
Kanpur,E003,Refuse Collector Vehicle,3,2,48.8,6400000
Visakhapatnam,E003,Refuse Collector Vehicle,2,2,46.0,6400000
Indore,E003,Refuse Collector Vehicle,2,2,45.2,6400000
Coimbatore,E003,Refuse Collector Vehicle,2,2,44.6,6400000
Nagpur,E003,Refuse Collector Vehicle,2,2,44.2,6400000
Faridabad,E003,Refuse Collector Vehicle,2,2,43.5,6400000
Asansol,E003,Refuse Collector Vehicle,2,2,43.2,6400000
Ludhiana,E003,Refuse Collector Vehicle,2,2,42.8,6400000
Howrah,E003,Refuse Collector Vehicle,2,2,42.6,6400000
Patna,E003,Refuse Collector Vehicle,2,2,42.1,6400000
Agra,E003,Refuse Collector Vehicle,2,2,40.8,6400000
Nashik,E003,Refuse Collector Vehicle,2,2,40.4,6400000
Varanasi,E003,Refuse Collector Vehicle,2,2,39.6,6400000
Madurai,E003,Refuse Collector Vehicle,2,2,39.5,6400000
Amritsar,E003,Refuse Collector Vehicle,1,1,37.7,3200000
Aurangabad,E003,Refuse Collector Vehicle,1,1,37.4,3200000
Kochi,E003,Refuse Collector Vehicle,1,1,37.18,3200000
Vijayawada,E003,Refuse Collector Vehicle,1,1,36.7,3200000
Jabalpur,E003,Refuse Collector Vehicle,1,1,36.4,3200000
Bhubaneswar,E003,Refuse Collector Vehicle,1,1,36.3,3200000
Srinagar,E003,Refuse Collector Vehicle,1,1,36.05,3200000
Raipur,E003,Refuse Collector Vehicle,1,1,35.85,3200000
Mysuru,E003,Refuse Collector Vehicle,1,1,35.8,3200000
Ranchi,E003,Refuse Collector Vehicle,1,1,35.3,3200000
Jodhpur,E003,Refuse Collector Vehicle,1,1,35.3,3200000
Siliguri,E003,Refuse Collector Vehicle,1,1,35.2,3200000
Gwalior,E003,Refuse Collector Vehicle,1,1,34.85,3200000
Guwahati,E003,Refuse Collector Vehicle,1,1,34.75,3200000
Durgapur,E003,Refuse Collector Vehicle,1,1,34.38,3200000
Dehradun,E003,Refuse Collector Vehicle,1,1,34.35,3200000
Hubli,E003,Refuse Collector Vehicle,1,1,33.95,3200000
Udaipur,E003,Refuse Collector Vehicle,1,1,32.5,3200000
Kharagpur,E003,Refuse Collector Vehicle,1,1,31.1,3200000
Tirupati,E003,Refuse Collector Vehicle,1,1,31.05,3200000
Malda,E003,Refuse Collector Vehicle,1,1,30.95,3200000
Haldia,E003,Refuse Collector Vehicle,1,1,30.6,3200000
Shimla,E003,Refuse Collector Vehicle,1,1,30.35,3200000
Panaji,E003,Refuse Collector Vehicle,1,1,30.05,3200000
Delhi,E004,Portable Waste Compactor,19,17,177.0,14450000
Mumbai,E004,Portable Waste Compactor,13,12,126.5,10200000
Bengaluru,E004,Portable Waste Compactor,10,10,109.4,8500000
Chennai,E004,Portable Waste Compactor,9,9,103.1,7650000
Hyderabad,E004,Portable Waste Compactor,8,8,93.8,6800000
Kolkata,E004,Portable Waste Compactor,7,7,92.5,5950000
Ahmedabad,E004,Portable Waste Compactor,6,6,82.6,5100000
Pune,E004,Portable Waste Compactor,4,4,60.9,3400000
Surat,E004,Portable Waste Compactor,4,4,58.6,3400000
Lucknow,E004,Portable Waste Compactor,3,3,48.3,2550000
Jaipur,E004,Portable Waste Compactor,3,3,47.1,2550000
Thane,E004,Portable Waste Compactor,2,2,45.9,1700000
Kanpur,E004,Portable Waste Compactor,3,3,45.8,2550000
Visakhapatnam,E004,Portable Waste Compactor,2,2,43.0,1700000
Indore,E004,Portable Waste Compactor,2,2,42.2,1700000
Coimbatore,E004,Portable Waste Compactor,2,2,41.6,1700000
Nagpur,E004,Portable Waste Compactor,2,2,41.2,1700000
Faridabad,E004,Portable Waste Compactor,2,2,40.5,1700000
Ludhiana,E004,Portable Waste Compactor,2,2,39.8,1700000
Asansol,E004,Portable Waste Compactor,1,1,39.2,850000
Patna,E004,Portable Waste Compactor,2,2,39.1,1700000
Howrah,E004,Portable Waste Compactor,1,1,38.6,850000
Agra,E004,Portable Waste Compactor,2,2,37.8,1700000
Nashik,E004,Portable Waste Compactor,2,2,37.4,1700000
Varanasi,E004,Portable Waste Compactor,1,1,35.6,850000
Madurai,E004,Portable Waste Compactor,1,1,35.5,850000
Amritsar,E004,Portable Waste Compactor,1,1,34.7,850000
Aurangabad,E004,Portable Waste Compactor,1,1,34.4,850000
Kochi,E004,Portable Waste Compactor,1,1,34.18,850000
Vijayawada,E004,Portable Waste Compactor,1,1,33.7,850000
Jabalpur,E004,Portable Waste Compactor,1,1,33.4,850000
Bhubaneswar,E004,Portable Waste Compactor,1,1,33.3,850000
Srinagar,E004,Portable Waste Compactor,1,1,33.05,850000
Raipur,E004,Portable Waste Compactor,1,1,32.85,850000
Mysuru,E004,Portable Waste Compactor,1,1,32.8,850000
Ranchi,E004,Portable Waste Compactor,1,1,32.3,850000
Jodhpur,E004,Portable Waste Compactor,1,1,32.3,850000
Siliguri,E004,Portable Waste Compactor,1,1,32.2,850000
Gwalior,E004,Portable Waste Compactor,1,1,31.85,850000
Guwahati,E004,Portable Waste Compactor,1,1,31.75,850000
Durgapur,E004,Portable Waste Compactor,1,1,31.38,850000
Dehradun,E004,Portable Waste Compactor,1,1,31.35,850000
Hubli,E004,Portable Waste Compactor,1,1,30.95,850000
Udaipur,E004,Portable Waste Compactor,1,1,29.5,850000
Kharagpur,E004,Portable Waste Compactor,1,1,28.1,850000
Tirupati,E004,Portable Waste Compactor,1,1,28.05,850000
Malda,E004,Portable Waste Compactor,1,1,27.95,850000
Haldia,E004,Portable Waste Compactor,1,1,27.6,850000
Shimla,E004,Portable Waste Compactor,1,1,27.35,850000
Panaji,E004,Portable Waste Compactor,1,1,27.05,850000
Delhi,E005,Mechanical Road Sweeper,20,3,109.2,5400000
Mumbai,E005,Mechanical Road Sweeper,15,2,89.6,3600000
Bengaluru,E005,Mechanical Road Sweeper,13,2,85.0,3600000
Chennai,E005,Mechanical Road Sweeper,11,2,79.1,3600000
Hyderabad,E005,Mechanical Road Sweeper,10,2,74.3,3600000
Kolkata,E005,Mechanical Road Sweeper,9,2,71.7,3600000
Ahmedabad,E005,Mechanical Road Sweeper,9,2,69.9,3600000
Pune,E005,Mechanical Road Sweeper,7,1,60.8,1800000
Surat,E005,Mechanical Road Sweeper,7,1,58.1,1800000
Jaipur,E005,Mechanical Road Sweeper,5,1,56.3,1800000
Lucknow,E005,Mechanical Road Sweeper,5,1,53.6,1800000
Visakhapatnam,E005,Mechanical Road Sweeper,4,1,51.4,1800000
Kanpur,E005,Mechanical Road Sweeper,5,1,51.1,1800000
Indore,E005,Mechanical Road Sweeper,4,1,49.7,1800000
Coimbatore,E005,Mechanical Road Sweeper,4,1,49.7,1800000
Thane,E005,Mechanical Road Sweeper,4,1,49.3,1800000
Agra,E005,Mechanical Road Sweeper,3,1,49.1,1800000
Nagpur,E005,Mechanical Road Sweeper,4,1,48.1,1800000
Varanasi,E005,Mechanical Road Sweeper,3,1,47.7,1800000
Madurai,E005,Mechanical Road Sweeper,3,1,46.5,1800000
Amritsar,E005,Mechanical Road Sweeper,2,1,46.1,1800000
Patna,E005,Mechanical Road Sweeper,3,1,46.1,1800000
Kochi,E005,Mechanical Road Sweeper,2,1,45.88,1800000
Faridabad,E005,Mechanical Road Sweeper,3,1,45.7,1800000
Srinagar,E005,Mechanical Road Sweeper,2,1,45.55,1800000
Ludhiana,E005,Mechanical Road Sweeper,3,1,45.2,1800000
Nashik,E005,Mechanical Road Sweeper,3,1,44.9,1800000
Mysuru,E005,Mechanical Road Sweeper,2,1,44.1,1800000
Bhubaneswar,E005,Mechanical Road Sweeper,2,1,44.0,1800000
Dehradun,E005,Mechanical Road Sweeper,2,1,43.65,1800000
Howrah,E005,Mechanical Road Sweeper,2,1,43.6,1800000
Guwahati,E005,Mechanical Road Sweeper,2,1,42.75,1800000
Jodhpur,E005,Mechanical Road Sweeper,2,1,42.7,1800000
Aurangabad,E005,Mechanical Road Sweeper,2,1,42.6,1800000
Udaipur,E005,Mechanical Road Sweeper,1,1,42.2,1800000
Vijayawada,E005,Mechanical Road Sweeper,2,1,42.0,1800000
Asansol,E005,Mechanical Road Sweeper,2,1,41.5,1800000
Jabalpur,E005,Mechanical Road Sweeper,2,1,41.4,1800000
Tirupati,E005,Mechanical Road Sweeper,1,1,40.75,1800000
Raipur,E005,Mechanical Road Sweeper,2,1,40.65,1800000
Gwalior,E005,Mechanical Road Sweeper,2,1,40.65,1800000
Ranchi,E005,Mechanical Road Sweeper,2,1,40.6,1800000
Panaji,E005,Mechanical Road Sweeper,1,1,40.15,1800000
Shimla,E005,Mechanical Road Sweeper,1,1,40.15,1800000
Hubli,E005,Mechanical Road Sweeper,2,1,39.55,1800000
Siliguri,E005,Mechanical Road Sweeper,1,1,39.4,1800000
Durgapur,E005,Mechanical Road Sweeper,1,1,38.08,1800000
Malda,E005,Mechanical Road Sweeper,1,1,35.55,1800000
Kharagpur,E005,Mechanical Road Sweeper,1,1,34.6,1800000
Haldia,E005,Mechanical Road Sweeper,1,1,34.4,1800000
Delhi,E006,Vacuum Road Sweeper,20,2,112.2,4400000
Mumbai,E006,Vacuum Road Sweeper,16,2,93.6,4400000
Bengaluru,E006,Vacuum Road Sweeper,15,2,90.0,4400000
Chennai,E006,Vacuum Road Sweeper,13,1,84.1,2200000
Hyderabad,E006,Vacuum Road Sweeper,12,1,79.3,2200000
Kolkata,E006,Vacuum Road Sweeper,10,1,75.7,2200000
Ahmedabad,E006,Vacuum Road Sweeper,10,1,73.9,2200000
Pune,E006,Vacuum Road Sweeper,7,1,63.8,2200000
Surat,E006,Vacuum Road Sweeper,8,1,62.1,2200000
Jaipur,E006,Vacuum Road Sweeper,6,1,60.3,2200000
Lucknow,E006,Vacuum Road Sweeper,6,1,57.6,2200000
Visakhapatnam,E006,Vacuum Road Sweeper,4,1,54.4,2200000
Kanpur,E006,Vacuum Road Sweeper,5,1,54.1,2200000
Indore,E006,Vacuum Road Sweeper,5,1,53.7,2200000
Coimbatore,E006,Vacuum Road Sweeper,4,1,52.7,2200000
Thane,E006,Vacuum Road Sweeper,4,1,52.3,2200000
Agra,E006,Vacuum Road Sweeper,3,1,52.1,2200000
Nagpur,E006,Vacuum Road Sweeper,4,1,51.1,2200000
Varanasi,E006,Vacuum Road Sweeper,3,1,50.7,2200000
Patna,E006,Vacuum Road Sweeper,4,1,50.1,2200000
Amritsar,E006,Vacuum Road Sweeper,3,1,50.1,2200000
Kochi,E006,Vacuum Road Sweeper,3,1,49.88,2200000
Faridabad,E006,Vacuum Road Sweeper,4,1,49.7,2200000
Madurai,E006,Vacuum Road Sweeper,3,1,49.5,2200000
Ludhiana,E006,Vacuum Road Sweeper,4,1,49.2,2200000
Srinagar,E006,Vacuum Road Sweeper,2,1,48.55,2200000
Bhubaneswar,E006,Vacuum Road Sweeper,3,1,48.0,2200000
Nashik,E006,Vacuum Road Sweeper,3,1,47.9,2200000
Howrah,E006,Vacuum Road Sweeper,3,1,47.6,2200000
Mysuru,E006,Vacuum Road Sweeper,2,1,47.1,2200000
Dehradun,E006,Vacuum Road Sweeper,2,1,46.65,2200000
Aurangabad,E006,Vacuum Road Sweeper,3,1,46.6,2200000
Guwahati,E006,Vacuum Road Sweeper,2,1,45.75,2200000
Jodhpur,E006,Vacuum Road Sweeper,2,1,45.7,2200000
Udaipur,E006,Vacuum Road Sweeper,1,1,45.2,2200000
Vijayawada,E006,Vacuum Road Sweeper,2,1,45.0,2200000
Asansol,E006,Vacuum Road Sweeper,2,1,44.5,2200000
Jabalpur,E006,Vacuum Road Sweeper,2,1,44.4,2200000
Tirupati,E006,Vacuum Road Sweeper,1,1,43.75,2200000
Raipur,E006,Vacuum Road Sweeper,2,1,43.65,2200000
Gwalior,E006,Vacuum Road Sweeper,2,1,43.65,2200000
Ranchi,E006,Vacuum Road Sweeper,2,1,43.6,2200000
Panaji,E006,Vacuum Road Sweeper,1,1,43.15,2200000
Shimla,E006,Vacuum Road Sweeper,1,1,43.15,2200000
Hubli,E006,Vacuum Road Sweeper,2,1,42.55,2200000
Siliguri,E006,Vacuum Road Sweeper,1,1,42.4,2200000
Durgapur,E006,Vacuum Road Sweeper,2,1,42.08,2200000
Malda,E006,Vacuum Road Sweeper,1,1,38.55,2200000
Kharagpur,E006,Vacuum Road Sweeper,1,1,37.6,2200000
Haldia,E006,Vacuum Road Sweeper,1,1,37.4,2200000
Delhi,E007,Dumper Placer Vehicle,19,7,177.0,18900000
Mumbai,E007,Dumper Placer Vehicle,13,5,126.5,13500000
Bengaluru,E007,Dumper Placer Vehicle,10,4,109.4,10800000
Chennai,E007,Dumper Placer Vehicle,9,4,103.1,10800000
Hyderabad,E007,Dumper Placer Vehicle,8,4,93.8,10800000
Kolkata,E007,Dumper Placer Vehicle,7,4,92.5,10800000
Ahmedabad,E007,Dumper Placer Vehicle,6,3,82.6,8100000
Pune,E007,Dumper Placer Vehicle,4,2,60.9,5400000
Surat,E007,Dumper Placer Vehicle,4,2,58.6,5400000
Lucknow,E007,Dumper Placer Vehicle,3,2,48.3,5400000
Jaipur,E007,Dumper Placer Vehicle,3,2,47.1,5400000
Thane,E007,Dumper Placer Vehicle,2,2,45.9,5400000
Kanpur,E007,Dumper Placer Vehicle,3,2,45.8,5400000
Visakhapatnam,E007,Dumper Placer Vehicle,2,2,43.0,5400000
Indore,E007,Dumper Placer Vehicle,2,2,42.2,5400000
Coimbatore,E007,Dumper Placer Vehicle,2,2,41.6,5400000
Nagpur,E007,Dumper Placer Vehicle,2,2,41.2,5400000
Faridabad,E007,Dumper Placer Vehicle,2,2,40.5,5400000
Ludhiana,E007,Dumper Placer Vehicle,2,2,39.8,5400000
Asansol,E007,Dumper Placer Vehicle,1,1,39.2,2700000
Patna,E007,Dumper Placer Vehicle,2,1,39.1,2700000
Howrah,E007,Dumper Placer Vehicle,1,1,38.6,2700000
Agra,E007,Dumper Placer Vehicle,2,1,37.8,2700000
Nashik,E007,Dumper Placer Vehicle,2,1,37.4,2700000
Varanasi,E007,Dumper Placer Vehicle,1,1,35.6,2700000
Madurai,E007,Dumper Placer Vehicle,1,1,35.5,2700000
Amritsar,E007,Dumper Placer Vehicle,1,1,34.7,2700000
Aurangabad,E007,Dumper Placer Vehicle,1,1,34.4,2700000
Kochi,E007,Dumper Placer Vehicle,1,1,34.18,2700000
Vijayawada,E007,Dumper Placer Vehicle,1,1,33.7,2700000
Jabalpur,E007,Dumper Placer Vehicle,1,1,33.4,2700000
Bhubaneswar,E007,Dumper Placer Vehicle,1,1,33.3,2700000
Srinagar,E007,Dumper Placer Vehicle,1,1,33.05,2700000
Raipur,E007,Dumper Placer Vehicle,1,1,32.85,2700000
Mysuru,E007,Dumper Placer Vehicle,1,1,32.8,2700000
Ranchi,E007,Dumper Placer Vehicle,1,1,32.3,2700000
Jodhpur,E007,Dumper Placer Vehicle,1,1,32.3,2700000
Siliguri,E007,Dumper Placer Vehicle,1,1,32.2,2700000
Gwalior,E007,Dumper Placer Vehicle,1,1,31.85,2700000
Guwahati,E007,Dumper Placer Vehicle,1,1,31.75,2700000
Durgapur,E007,Dumper Placer Vehicle,1,1,31.38,2700000
Dehradun,E007,Dumper Placer Vehicle,1,1,31.35,2700000
Hubli,E007,Dumper Placer Vehicle,1,1,30.95,2700000
Udaipur,E007,Dumper Placer Vehicle,1,1,29.5,2700000
Kharagpur,E007,Dumper Placer Vehicle,1,1,28.1,2700000
Tirupati,E007,Dumper Placer Vehicle,1,1,28.05,2700000
Malda,E007,Dumper Placer Vehicle,1,1,27.95,2700000
Haldia,E007,Dumper Placer Vehicle,1,1,27.6,2700000
Shimla,E007,Dumper Placer Vehicle,1,1,27.35,2700000
Panaji,E007,Dumper Placer Vehicle,1,1,27.05,2700000
Delhi,E008,Waste Collection Container,19,19,177.0,2280000
Mumbai,E008,Waste Collection Container,13,13,126.5,1560000
Bengaluru,E008,Waste Collection Container,10,10,109.4,1200000
Chennai,E008,Waste Collection Container,9,9,103.1,1080000
Hyderabad,E008,Waste Collection Container,8,8,93.8,960000
Kolkata,E008,Waste Collection Container,7,7,92.5,840000
Ahmedabad,E008,Waste Collection Container,6,6,82.6,720000
Pune,E008,Waste Collection Container,4,4,60.9,480000
Surat,E008,Waste Collection Container,4,4,58.6,480000
Lucknow,E008,Waste Collection Container,3,3,48.3,360000
Jaipur,E008,Waste Collection Container,3,3,47.1,360000
Thane,E008,Waste Collection Container,2,2,45.9,240000
Kanpur,E008,Waste Collection Container,3,3,45.8,360000
Visakhapatnam,E008,Waste Collection Container,2,2,43.0,240000
Indore,E008,Waste Collection Container,2,2,42.2,240000
Coimbatore,E008,Waste Collection Container,2,2,41.6,240000
Nagpur,E008,Waste Collection Container,2,2,41.2,240000
Faridabad,E008,Waste Collection Container,2,2,40.5,240000
Ludhiana,E008,Waste Collection Container,2,2,39.8,240000
Asansol,E008,Waste Collection Container,1,1,39.2,120000
Patna,E008,Waste Collection Container,2,2,39.1,240000
Howrah,E008,Waste Collection Container,1,1,38.6,120000
Agra,E008,Waste Collection Container,2,2,37.8,240000
Nashik,E008,Waste Collection Container,2,2,37.4,240000
Varanasi,E008,Waste Collection Container,1,1,35.6,120000
Madurai,E008,Waste Collection Container,1,1,35.5,120000
Amritsar,E008,Waste Collection Container,1,1,34.7,120000
Aurangabad,E008,Waste Collection Container,1,1,34.4,120000
Kochi,E008,Waste Collection Container,1,1,34.18,120000
Vijayawada,E008,Waste Collection Container,1,1,33.7,120000
Jabalpur,E008,Waste Collection Container,1,1,33.4,120000
Bhubaneswar,E008,Waste Collection Container,1,1,33.3,120000
Srinagar,E008,Waste Collection Container,1,1,33.05,120000
Raipur,E008,Waste Collection Container,1,1,32.85,120000
Mysuru,E008,Waste Collection Container,1,1,32.8,120000
Ranchi,E008,Waste Collection Container,1,1,32.3,120000
Jodhpur,E008,Waste Collection Container,1,1,32.3,120000
Siliguri,E008,Waste Collection Container,1,1,32.2,120000
Gwalior,E008,Waste Collection Container,1,1,31.85,120000
Guwahati,E008,Waste Collection Container,1,1,31.75,120000
Durgapur,E008,Waste Collection Container,1,1,31.38,120000
Dehradun,E008,Waste Collection Container,1,1,31.35,120000
Hubli,E008,Waste Collection Container,1,1,30.95,120000
Udaipur,E008,Waste Collection Container,1,1,29.5,120000
Kharagpur,E008,Waste Collection Container,1,1,28.1,120000
Tirupati,E008,Waste Collection Container,1,1,28.05,120000
Malda,E008,Waste Collection Container,1,1,27.95,120000
Haldia,E008,Waste Collection Container,1,1,27.6,120000
Shimla,E008,Waste Collection Container,1,1,27.35,120000
Panaji,E008,Waste Collection Container,1,1,27.05,120000
Delhi,E009,Hydraulic Waste Loader,19,8,177.0,12000000
Mumbai,E009,Hydraulic Waste Loader,13,6,126.5,9000000
Bengaluru,E009,Hydraulic Waste Loader,10,5,109.4,7500000
Chennai,E009,Hydraulic Waste Loader,9,5,103.1,7500000
Hyderabad,E009,Hydraulic Waste Loader,8,4,93.8,6000000
Kolkata,E009,Hydraulic Waste Loader,7,4,92.5,6000000
Ahmedabad,E009,Hydraulic Waste Loader,6,4,82.6,6000000
Pune,E009,Hydraulic Waste Loader,4,3,60.9,4500000
Surat,E009,Hydraulic Waste Loader,4,3,58.6,4500000
Lucknow,E009,Hydraulic Waste Loader,3,2,48.3,3000000
Jaipur,E009,Hydraulic Waste Loader,3,2,47.1,3000000
Thane,E009,Hydraulic Waste Loader,2,2,45.9,3000000
Kanpur,E009,Hydraulic Waste Loader,3,2,45.8,3000000
Visakhapatnam,E009,Hydraulic Waste Loader,2,2,43.0,3000000
Indore,E009,Hydraulic Waste Loader,2,2,42.2,3000000
Coimbatore,E009,Hydraulic Waste Loader,2,2,41.6,3000000
Nagpur,E009,Hydraulic Waste Loader,2,2,41.2,3000000
Faridabad,E009,Hydraulic Waste Loader,2,2,40.5,3000000
Ludhiana,E009,Hydraulic Waste Loader,2,2,39.8,3000000
Asansol,E009,Hydraulic Waste Loader,1,1,39.2,1500000
Patna,E009,Hydraulic Waste Loader,2,2,39.1,3000000
Howrah,E009,Hydraulic Waste Loader,1,1,38.6,1500000
Agra,E009,Hydraulic Waste Loader,2,2,37.8,3000000
Nashik,E009,Hydraulic Waste Loader,2,2,37.4,3000000
Varanasi,E009,Hydraulic Waste Loader,1,1,35.6,1500000
Madurai,E009,Hydraulic Waste Loader,1,1,35.5,1500000
