municipality,equipment_id,equipment_name,demand,allocated,priority_score,cost
Siliguri,E001,Garbage Compactor Truck,1,1,3.7,2500000
Udaipur,E001,Garbage Compactor Truck,1,1,3.6,2500000
Durgapur,E001,Garbage Compactor Truck,1,1,3.58,2500000
Tirupati,E001,Garbage Compactor Truck,1,1,2.45,2500000
Kharagpur,E001,Garbage Compactor Truck,1,1,2.3,2500000
Malda,E001,Garbage Compactor Truck,1,1,2.25,2500000
Shimla,E001,Garbage Compactor Truck,1,1,2.25,2500000
Haldia,E001,Garbage Compactor Truck,1,1,2.2,2500000
Panaji,E001,Garbage Compactor Truck,1,1,2.15,2500000
Delhi,E002,Mini Garbage Tipper,20,19,44.0,34200000
Mumbai,E002,Mini Garbage Tipper,14,14,31.5,25200000
Bengaluru,E002,Mini Garbage Tipper,11,11,24.4,19800000
Chennai,E002,Mini Garbage Tipper,10,10,22.1,18000000
Hyderabad,E002,Mini Garbage Tipper,9,9,20.8,16200000
Ahmedabad,E002,Mini Garbage Tipper,7,7,17.6,12600000
Kolkata,E002,Mini Garbage Tipper,8,8,17.5,14400000
Surat,E002,Mini Garbage Tipper,5,5,12.6,9000000
Pune,E002,Mini Garbage Tipper,5,5,11.9,9000000
Lucknow,E002,Mini Garbage Tipper,3,3,9.3,5400000
Jaipur,E002,Mini Garbage Tipper,3,3,9.1,5400000
Kanpur,E002,Mini Garbage Tipper,3,3,8.8,5400000
Thane,E002,Mini Garbage Tipper,3,3,7.9,5400000
Nagpur,E002,Mini Garbage Tipper,2,2,7.4,3600000
Indore,E002,Mini Garbage Tipper,2,2,7.2,3600000
Coimbatore,E002,Mini Garbage Tipper,2,2,7.1,3600000
Patna,E002,Mini Garbage Tipper,2,2,7.1,3600000
Visakhapatnam,E002,Mini Garbage Tipper,2,2,7.0,3600000
Ludhiana,E002,Mini Garbage Tipper,2,2,6.8,3600000
Faridabad,E002,Mini Garbage Tipper,2,2,6.7,3600000
Asansol,E002,Mini Garbage Tipper,2,2,6.2,3600000
Howrah,E002,Mini Garbage Tipper,2,2,6.1,3600000
Nashik,E002,Mini Garbage Tipper,2,2,5.7,3600000
Agra,E002,Mini Garbage Tipper,2,2,5.7,3600000
Madurai,E002,Mini Garbage Tipper,2,2,5.5,3600000
Varanasi,E002,Mini Garbage Tipper,2,2,5.4,3600000
Jabalpur,E002,Mini Garbage Tipper,1,1,4.3,1800000
Aurangabad,E002,Mini Garbage Tipper,1,1,4.3,1800000
Srinagar,E002,Mini Garbage Tipper,1,1,4.25,1800000
Amritsar,E002,Mini Garbage Tipper,1,1,4.2,1800000
Ranchi,E002,Mini Garbage Tipper,1,1,4.2,1800000
Raipur,E002,Mini Garbage Tipper,1,1,4.15,1800000
Bhubaneswar,E002,Mini Garbage Tipper,1,1,4.1,1800000
Jodhpur,E002,Mini Garbage Tipper,1,1,4.1,1800000
Mysuru,E002,Mini Garbage Tipper,1,1,4.1,1800000
Vijayawada,E002,Mini Garbage Tipper,1,1,4.1,1800000
Gwalior,E002,Mini Garbage Tipper,1,1,4.05,1800000
Kochi,E002,Mini Garbage Tipper,1,1,3.98,1800000
Guwahati,E002,Mini Garbage Tipper,1,1,3.95,1800000
Hubli,E002,Mini Garbage Tipper,1,1,3.95,1800000
Dehradun,E002,Mini Garbage Tipper,1,1,3.85,1800000
Siliguri,E002,Mini Garbage Tipper,1,1,3.7,1800000
Udaipur,E002,Mini Garbage Tipper,1,1,3.6,1800000
Durgapur,E002,Mini Garbage Tipper,1,1,3.58,1800000
Tirupati,E002,Mini Garbage Tipper,1,1,2.45,1800000
Kharagpur,E002,Mini Garbage Tipper,1,1,2.3,1800000
Malda,E002,Mini Garbage Tipper,1,1,2.25,1800000
Shimla,E002,Mini Garbage Tipper,1,1,2.25,1800000
Haldia,E002,Mini Garbage Tipper,1,1,2.2,1800000
Panaji,E002,Mini Garbage Tipper,1,1,2.15,1800000
Delhi,E003,Refuse Collector Vehicle,20,11,44.0,35200000
Mumbai,E003,Refuse Collector Vehicle,14,8,31.5,25600000
Bengaluru,E003,Refuse Collector Vehicle,11,6,24.4,19200000
Chennai,E003,Refuse Collector Vehicle,10,5,22.1,16000000
Hyderabad,E003,Refuse Collector Vehicle,9,5,20.8,16000000
Ahmedabad,E003,Refuse Collector Vehicle,7,4,17.6,12800000
Kolkata,E003,Refuse Collector Vehicle,8,4,17.5,12800000
Surat,E003,Refuse Collector Vehicle,5,3,12.6,9600000
Pune,E003,Refuse Collector Vehicle,5,3,11.9,9600000
Lucknow,E003,Refuse Collector Vehicle,3,2,9.3,6400000
Jaipur,E003,Refuse Collector Vehicle,3,2,9.1,6400000
Kanpur,E003,Refuse Collector Vehicle,3,2,8.8,6400000
Thane,E003,Refuse Collector Vehicle,3,2,7.9,6400000
Nagpur,E003,Refuse Collector Vehicle,2,2,7.4,6400000
Indore,E003,Refuse Collector Vehicle,2,2,7.2,6400000
Coimbatore,E003,Refuse Collector Vehicle,2,2,7.1,6400000
Patna,E003,Refuse Collector Vehicle,2,2,7.1,6400000
Visakhapatnam,E003,Refuse Collector Vehicle,2,2,7.0,6400000
Ludhiana,E003,Refuse Collector Vehicle,2,2,6.8,6400000
Faridabad,E003,Refuse Collector Vehicle,2,2,6.7,6400000
Asansol,E003,Refuse Collector Vehicle,2,2,6.2,6400000
Howrah,E003,Refuse Collector Vehicle,2,1,6.1,3200000
Nashik,E003,Refuse Collector Vehicle,2,1,5.7,3200000
Agra,E003,Refuse Collector Vehicle,2,1,5.7,3200000
Madurai,E003,Refuse Collector Vehicle,2,1,5.5,3200000
Varanasi,E003,Refuse Collector Vehicle,2,1,5.4,3200000
Jabalpur,E003,Refuse Collector Vehicle,1,1,4.3,3200000
Aurangabad,E003,Refuse Collector Vehicle,1,1,4.3,3200000
Srinagar,E003,Refuse Collector Vehicle,1,1,4.25,3200000
Amritsar,E003,Refuse Collector Vehicle,1,1,4.2,3200000
Ranchi,E003,Refuse Collector Vehicle,1,1,4.2,3200000
Raipur,E003,Refuse Collector Vehicle,1,1,4.15,3200000
Bhubaneswar,E003,Refuse Collector Vehicle,1,1,4.1,3200000
Jodhpur,E003,Refuse Collector Vehicle,1,1,4.1,3200000
Mysuru,E003,Refuse Collector Vehicle,1,1,4.1,3200000
Vijayawada,E003,Refuse Collector Vehicle,1,1,4.1,3200000
Gwalior,E003,Refuse Collector Vehicle,1,1,4.05,3200000
Kochi,E003,Refuse Collector Vehicle,1,1,3.98,3200000
Guwahati,E003,Refuse Collector Vehicle,1,1,3.95,3200000
Hubli,E003,Refuse Collector Vehicle,1,1,3.95,3200000
Dehradun,E003,Refuse Collector Vehicle,1,1,3.85,3200000
Siliguri,E003,Refuse Collector Vehicle,1,1,3.7,3200000
Udaipur,E003,Refuse Collector Vehicle,1,1,3.6,3200000
Durgapur,E003,Refuse Collector Vehicle,1,1,3.58,3200000
Tirupati,E003,Refuse Collector Vehicle,1,1,2.45,3200000
Kharagpur,E003,Refuse Collector Vehicle,1,1,2.3,3200000
Malda,E003,Refuse Collector Vehicle,1,1,2.25,3200000
Shimla,E003,Refuse Collector Vehicle,1,1,2.25,3200000
Haldia,E003,Refuse Collector Vehicle,1,1,2.2,3200000
Panaji,E003,Refuse Collector Vehicle,1,1,2.15,3200000
Delhi,E004,Portable Waste Compactor,19,19,43.0,16150000
Mumbai,E004,Portable Waste Compactor,13,13,30.5,11050000
Bengaluru,E004,Portable Waste Compactor,10,10,23.4,8500000
Chennai,E004,Portable Waste Compactor,9,9,21.1,7650000
Hyderabad,E004,Portable Waste Compactor,8,8,19.8,6800000
Ahmedabad,E004,Portable Waste Compactor,6,6,16.6,5100000
Kolkata,E004,Portable Waste Compactor,7,7,16.5,5950000
Surat,E004,Portable Waste Compactor,4,4,11.6,3400000
Pune,E004,Portable Waste Compactor,4,4,10.9,3400000
Lucknow,E004,Portable Waste Compactor,3,3,9.3,2550000
Jaipur,E004,Portable Waste Compactor,3,3,9.1,2550000
Kanpur,E004,Portable Waste Compactor,3,3,8.8,2550000
Nagpur,E004,Portable Waste Compactor,2,2,7.4,1700000
Indore,E004,Portable Waste Compactor,2,2,7.2,1700000
Patna,E004,Portable Waste Compactor,2,2,7.1,1700000
Coimbatore,E004,Portable Waste Compactor,2,2,7.1,1700000
Visakhapatnam,E004,Portable Waste Compactor,2,2,7.0,1700000
Thane,E004,Portable Waste Compactor,2,2,6.9,1700000
Ludhiana,E004,Portable Waste Compactor,2,2,6.8,1700000
Faridabad,E004,Portable Waste Compactor,2,2,6.7,1700000
Nashik,E004,Portable Waste Compactor,2,2,5.7,1700000
Agra,E004,Portable Waste Compactor,2,2,5.7,1700000
Asansol,E004,Portable Waste Compactor,1,1,5.2,850000
Howrah,E004,Portable Waste Compactor,1,1,5.1,850000
Madurai,E004,Portable Waste Compactor,1,1,4.5,850000
Varanasi,E004,Portable Waste Compactor,1,1,4.4,850000
Jabalpur,E004,Portable Waste Compactor,1,1,4.3,850000
Aurangabad,E004,Portable Waste Compactor,1,1,4.3,850000
Srinagar,E004,Portable Waste Compactor,1,1,4.25,850000
Amritsar,E004,Portable Waste Compactor,1,1,4.2,850000
Ranchi,E004,Portable Waste Compactor,1,1,4.2,850000
Raipur,E004,Portable Waste Compactor,1,1,4.15,850000
Bhubaneswar,E004,Portable Waste Compactor,1,1,4.1,850000
Jodhpur,E004,Portable Waste Compactor,1,1,4.1,850000
Mysuru,E004,Portable Waste Compactor,1,1,4.1,850000
Vijayawada,E004,Portable Waste Compactor,1,1,4.1,850000
Gwalior,E004,Portable Waste Compactor,1,1,4.05,850000
Kochi,E004,Portable Waste Compactor,1,1,3.98,850000
Guwahati,E004,Portable Waste Compactor,1,1,3.95,850000
Hubli,E004,Portable Waste Compactor,1,1,3.95,850000
Dehradun,E004,Portable Waste Compactor,1,1,3.85,850000
Siliguri,E004,Portable Waste Compactor,1,1,3.7,850000
Udaipur,E004,Portable Waste Compactor,1,1,3.6,850000
Durgapur,E004,Portable Waste Compactor,1,1,3.58,850000
Tirupati,E004,Portable Waste Compactor,1,1,2.45,850000
Kharagpur,E004,Portable Waste Compactor,1,1,2.3,850000
Malda,E004,Portable Waste Compactor,1,1,2.25,850000
Shimla,E004,Portable Waste Compactor,1,1,2.25,850000
Haldia,E004,Portable Waste Compactor,1,1,2.2,850000
Panaji,E004,Portable Waste Compactor,1,1,2.15,850000
Delhi,E005,Mechanical Road Sweeper,20,6,44.0,10800000
Mumbai,E005,Mechanical Road Sweeper,15,4,32.5,7200000
Bengaluru,E005,Mechanical Road Sweeper,13,3,26.4,5400000
Chennai,E005,Mechanical Road Sweeper,11,3,23.1,5400000
Hyderabad,E005,Mechanical Road Sweeper,10,3,21.8,5400000
Ahmedabad,E005,Mechanical Road Sweeper,9,3,19.6,5400000
Kolkata,E005,Mechanical Road Sweeper,9,2,18.5,3600000
Surat,E005,Mechanical Road Sweeper,7,2,14.6,3600000
Pune,E005,Mechanical Road Sweeper,7,2,13.9,3600000
Lucknow,E005,Mechanical Road Sweeper,5,1,11.3,1800000
Jaipur,E005,Mechanical Road Sweeper,5,1,11.1,1800000
Kanpur,E005,Mechanical Road Sweeper,5,1,10.8,1800000
Nagpur,E005,Mechanical Road Sweeper,4,1,9.4,1800000
Indore,E005,Mechanical Road Sweeper,4,1,9.2,1800000
Coimbatore,E005,Mechanical Road Sweeper,4,1,9.1,1800000
Visakhapatnam,E005,Mechanical Road Sweeper,4,1,9.0,1800000
Thane,E005,Mechanical Road Sweeper,4,1,8.9,1800000
Patna,E005,Mechanical Road Sweeper,3,1,8.1,1800000
Ludhiana,E005,Mechanical Road Sweeper,3,1,7.8,1800000
Faridabad,E005,Mechanical Road Sweeper,3,1,7.7,1800000
Nashik,E005,Mechanical Road Sweeper,3,1,6.7,1800000
Agra,E005,Mechanical Road Sweeper,3,1,6.7,1800000
Madurai,E005,Mechanical Road Sweeper,3,1,6.5,1800000
Varanasi,E005,Mechanical Road Sweeper,3,1,6.4,1800000
Asansol,E005,Mechanical Road Sweeper,2,1,6.2,1800000
Howrah,E005,Mechanical Road Sweeper,2,1,6.1,1800000
Jabalpur,E005,Mechanical Road Sweeper,2,1,5.3,1800000
Aurangabad,E005,Mechanical Road Sweeper,2,1,5.3,1800000
Srinagar,E005,Mechanical Road Sweeper,2,1,5.25,1800000
Amritsar,E005,Mechanical Road Sweeper,2,1,5.2,1800000
Ranchi,E005,Mechanical Road Sweeper,2,1,5.2,1800000
Raipur,E005,Mechanical Road Sweeper,2,1,5.15,1800000
Bhubaneswar,E005,Mechanical Road Sweeper,2,1,5.1,1800000
Jodhpur,E005,Mechanical Road Sweeper,2,1,5.1,1800000
Mysuru,E005,Mechanical Road Sweeper,2,1,5.1,1800000
Vijayawada,E005,Mechanical Road Sweeper,2,1,5.1,1800000
Gwalior,E005,Mechanical Road Sweeper,2,1,5.05,1800000
Kochi,E005,Mechanical Road Sweeper,2,1,4.98,1800000
Guwahati,E005,Mechanical Road Sweeper,2,1,4.95,1800000
Hubli,E005,Mechanical Road Sweeper,2,1,4.95,1800000
Dehradun,E005,Mechanical Road Sweeper,2,1,4.85,1800000
Siliguri,E005,Mechanical Road Sweeper,1,0,3.7,0
Udaipur,E005,Mechanical Road Sweeper,1,0,3.6,0
Durgapur,E005,Mechanical Road Sweeper,1,0,3.58,0
Tirupati,E005,Mechanical Road Sweeper,1,0,2.45,0
Kharagpur,E005,Mechanical Road Sweeper,1,0,2.3,0
Malda,E005,Mechanical Road Sweeper,1,0,2.25,0
Shimla,E005,Mechanical Road Sweeper,1,0,2.25,0
Haldia,E005,Mechanical Road Sweeper,1,0,2.2,0
Panaji,E005,Mechanical Road Sweeper,1,0,2.15,0
Delhi,E006,Vacuum Road Sweeper,20,4,44.0,8800000
Mumbai,E006,Vacuum Road Sweeper,16,3,33.5,6600000
Bengaluru,E006,Vacuum Road Sweeper,15,3,28.4,6600000
Chennai,E006,Vacuum Road Sweeper,13,2,25.1,4400000
Hyderabad,E006,Vacuum Road Sweeper,12,2,23.8,4400000
Ahmedabad,E006,Vacuum Road Sweeper,10,2,20.6,4400000
Kolkata,E006,Vacuum Road Sweeper,10,2,19.5,4400000
Surat,E006,Vacuum Road Sweeper,8,1,15.6,2200000
Pune,E006,Vacuum Road Sweeper,7,1,13.9,2200000
Lucknow,E006,Vacuum Road Sweeper,6,1,12.3,2200000
Jaipur,E006,Vacuum Road Sweeper,6,1,12.1,2200000
Kanpur,E006,Vacuum Road Sweeper,5,1,10.8,2200000
Indore,E006,Vacuum Road Sweeper,5,1,10.2,2200000
Nagpur,E006,Vacuum Road Sweeper,4,1,9.4,2200000
Patna,E006,Vacuum Road Sweeper,4,1,9.1,2200000
Coimbatore,E006,Vacuum Road Sweeper,4,1,9.1,2200000
Visakhapatnam,E006,Vacuum Road Sweeper,4,1,9.0,2200000
Thane,E006,Vacuum Road Sweeper,4,1,8.9,2200000
Ludhiana,E006,Vacuum Road Sweeper,4,1,8.8,2200000
Faridabad,E006,Vacuum Road Sweeper,4,1,8.7,2200000
Howrah,E006,Vacuum Road Sweeper,3,1,7.1,2200000
Nashik,E006,Vacuum Road Sweeper,3,1,6.7,2200000
Agra,E006,Vacuum Road Sweeper,3,1,6.7,2200000
Madurai,E006,Vacuum Road Sweeper,3,1,6.5,2200000
Varanasi,E006,Vacuum Road Sweeper,3,1,6.4,2200000
Aurangabad,E006,Vacuum Road Sweeper,3,1,6.3,2200000
Amritsar,E006,Vacuum Road Sweeper,3,1,6.2,2200000
Asansol,E006,Vacuum Road Sweeper,2,1,6.2,2200000
Bhubaneswar,E006,Vacuum Road Sweeper,3,1,6.1,2200000
Kochi,E006,Vacuum Road Sweeper,3,1,5.98,2200000
Jabalpur,E006,Vacuum Road Sweeper,2,0,5.3,0
Srinagar,E006,Vacuum Road Sweeper,2,0,5.25,0
Ranchi,E006,Vacuum Road Sweeper,2,0,5.2,0
Raipur,E006,Vacuum Road Sweeper,2,0,5.15,0
Mysuru,E006,Vacuum Road Sweeper,2,0,5.1,0
Jodhpur,E006,Vacuum Road Sweeper,2,0,5.1,0
Vijayawada,E006,Vacuum Road Sweeper,2,0,5.1,0
Gwalior,E006,Vacuum Road Sweeper,2,0,5.05,0
Guwahati,E006,Vacuum Road Sweeper,2,0,4.95,0
Hubli,E006,Vacuum Road Sweeper,2,0,4.95,0
Dehradun,E006,Vacuum Road Sweeper,2,0,4.85,0
Durgapur,E006,Vacuum Road Sweeper,2,0,4.58,0
Siliguri,E006,Vacuum Road Sweeper,1,0,3.7,0
Udaipur,E006,Vacuum Road Sweeper,1,0,3.6,0
Tirupati,E006,Vacuum Road Sweeper,1,0,2.45,0
Kharagpur,E006,Vacuum Road Sweeper,1,0,2.3,0
Malda,E006,Vacuum Road Sweeper,1,0,2.25,0
Shimla,E006,Vacuum Road Sweeper,1,0,2.25,0
Haldia,E006,Vacuum Road Sweeper,1,0,2.2,0
Panaji,E006,Vacuum Road Sweeper,1,0,2.15,0
Delhi,E007,Dumper Placer Vehicle,19,10,43.0,27000000
Mumbai,E007,Dumper Placer Vehicle,13,7,30.5,18900000
Bengaluru,E007,Dumper Placer Vehicle,10,5,23.4,13500000
Chennai,E007,Dumper Placer Vehicle,9,5,21.1,13500000
Hyderabad,E007,Dumper Placer Vehicle,8,5,19.8,13500000
Ahmedabad,E007,Dumper Placer Vehicle,6,4,16.6,10800000
Kolkata,E007,Dumper Placer Vehicle,7,4,16.5,10800000
Surat,E007,Dumper Placer Vehicle,4,3,11.6,8100000
Pune,E007,Dumper Placer Vehicle,4,2,10.9,5400000
Lucknow,E007,Dumper Placer Vehicle,3,2,9.3,5400000
Jaipur,E007,Dumper Placer Vehicle,3,2,9.1,5400000
Kanpur,E007,Dumper Placer Vehicle,3,2,8.8,5400000
Nagpur,E007,Dumper Placer Vehicle,2,2,7.4,5400000
Indore,E007,Dumper Placer Vehicle,2,2,7.2,5400000
Patna,E007,Dumper Placer Vehicle,2,2,7.1,5400000
Coimbatore,E007,Dumper Placer Vehicle,2,2,7.1,5400000
Visakhapatnam,E007,Dumper Placer Vehicle,2,2,7.0,5400000
Thane,E007,Dumper Placer Vehicle,2,2,6.9,5400000
Ludhiana,E007,Dumper Placer Vehicle,2,2,6.8,5400000
Faridabad,E007,Dumper Placer Vehicle,2,2,6.7,5400000
Nashik,E007,Dumper Placer Vehicle,2,1,5.7,2700000
Agra,E007,Dumper Placer Vehicle,2,1,5.7,2700000
Asansol,E007,Dumper Placer Vehicle,1,1,5.2,2700000
Howrah,E007,Dumper Placer Vehicle,1,1,5.1,2700000
Madurai,E007,Dumper Placer Vehicle,1,1,4.5,2700000
Varanasi,E007,Dumper Placer Vehicle,1,1,4.4,2700000
Jabalpur,E007,Dumper Placer Vehicle,1,1,4.3,2700000
Aurangabad,E007,Dumper Placer Vehicle,1,1,4.3,2700000
Srinagar,E007,Dumper Placer Vehicle,1,1,4.25,2700000
Amritsar,E007,Dumper Placer Vehicle,1,1,4.2,2700000
Ranchi,E007,Dumper Placer Vehicle,1,1,4.2,2700000
Raipur,E007,Dumper Placer Vehicle,1,1,4.15,2700000
Bhubaneswar,E007,Dumper Placer Vehicle,1,1,4.1,2700000
Jodhpur,E007,Dumper Placer Vehicle,1,1,4.1,2700000
Mysuru,E007,Dumper Placer Vehicle,1,1,4.1,2700000
Vijayawada,E007,Dumper Placer Vehicle,1,1,4.1,2700000
Gwalior,E007,Dumper Placer Vehicle,1,1,4.05,2700000
Kochi,E007,Dumper Placer Vehicle,1,1,3.98,2700000
Guwahati,E007,Dumper Placer Vehicle,1,1,3.95,2700000
Hubli,E007,Dumper Placer Vehicle,1,1,3.95,2700000
Dehradun,E007,Dumper Placer Vehicle,1,1,3.85,2700000
Siliguri,E007,Dumper Placer Vehicle,1,1,3.7,2700000
Udaipur,E007,Dumper Placer Vehicle,1,1,3.6,2700000
Durgapur,E007,Dumper Placer Vehicle,1,1,3.58,2700000
Tirupati,E007,Dumper Placer Vehicle,1,1,2.45,2700000
Kharagpur,E007,Dumper Placer Vehicle,1,1,2.3,2700000
Malda,E007,Dumper Placer Vehicle,1,1,2.25,2700000
Shimla,E007,Dumper Placer Vehicle,1,1,2.25,2700000
Haldia,E007,Dumper Placer Vehicle,1,1,2.2,2700000
Panaji,E007,Dumper Placer Vehicle,1,0,2.15,0
Delhi,E008,Waste Collection Container,19,19,43.0,2280000
Mumbai,E008,Waste Collection Container,13,13,30.5,1560000
Bengaluru,E008,Waste Collection Container,10,10,23.4,1200000
Chennai,E008,Waste Collection Container,9,9,21.1,1080000
Hyderabad,E008,Waste Collection Container,8,8,19.8,960000
Ahmedabad,E008,Waste Collection Container,6,6,16.6,720000
Kolkata,E008,Waste Collection Container,7,7,16.5,840000
Surat,E008,Waste Collection Container,4,4,11.6,480000
Pune,E008,Waste Collection Container,4,4,10.9,480000
Lucknow,E008,Waste Collection Container,3,3,9.3,360000
Jaipur,E008,Waste Collection Container,3,3,9.1,360000
Kanpur,E008,Waste Collection Container,3,3,8.8,360000
Nagpur,E008,Waste Collection Container,2,2,7.4,240000
Indore,E008,Waste Collection Container,2,2,7.2,240000
Patna,E008,Waste Collection Container,2,2,7.1,240000
Coimbatore,E008,Waste Collection Container,2,2,7.1,240000
Visakhapatnam,E008,Waste Collection Container,2,2,7.0,240000
Thane,E008,Waste Collection Container,2,2,6.9,240000
Ludhiana,E008,Waste Collection Container,2,2,6.8,240000
Faridabad,E008,Waste Collection Container,2,2,6.7,240000
Nashik,E008,Waste Collection Container,2,2,5.7,240000
Agra,E008,Waste Collection Container,2,2,5.7,240000
Asansol,E008,Waste Collection Container,1,1,5.2,120000
Howrah,E008,Waste Collection Container,1,1,5.1,120000
Madurai,E008,Waste Collection Container,1,1,4.5,120000
Varanasi,E008,Waste Collection Container,1,1,4.4,120000
Jabalpur,E008,Waste Collection Container,1,1,4.3,120000
Aurangabad,E008,Waste Collection Container,1,1,4.3,120000
Srinagar,E008,Waste Collection Container,1,1,4.25,120000
Amritsar,E008,Waste Collection Container,1,1,4.2,120000
Ranchi,E008,Waste Collection Container,1,1,4.2,120000
Raipur,E008,Waste Collection Container,1,1,4.15,120000
Bhubaneswar,E008,Waste Collection Container,1,1,4.1,120000
Jodhpur,E008,Waste Collection Container,1,1,4.1,120000
Mysuru,E008,Waste Collection Container,1,1,4.1,120000
Vijayawada,E008,Waste Collection Container,1,1,4.1,120000
Gwalior,E008,Waste Collection Container,1,1,4.05,120000
Kochi,E008,Waste Collection Container,1,1,3.98,120000
Guwahati,E008,Waste Collection Container,1,1,3.95,120000
Hubli,E008,Waste Collection Container,1,1,3.95,120000
Dehradun,E008,Waste Collection Container,1,1,3.85,120000
Siliguri,E008,Waste Collection Container,1,1,3.7,120000
Udaipur,E008,Waste Collection Container,1,1,3.6,120000
Durgapur,E008,Waste Collection Container,1,1,3.58,120000
Tirupati,E008,Waste Collection Container,1,1,2.45,120000
Kharagpur,E008,Waste Collection Container,1,1,2.3,120000
Malda,E008,Waste Collection Container,1,1,2.25,120000
Shimla,E008,Waste Collection Container,1,1,2.25,120000
Haldia,E008,Waste Collection Container,1,1,2.2,120000
Panaji,E008,Waste Collection Container,1,1,2.15,120000
Delhi,E009,Hydraulic Waste Loader,19,12,43.0,18000000
Mumbai,E009,Hydraulic Waste Loader,13,9,30.5,13500000
Bengaluru,E009,Hydraulic Waste Loader,10,7,23.4,10500000
Chennai,E009,Hydraulic Waste Loader,9,6,21.1,9000000
Hyderabad,E009,Hydraulic Waste Loader,8,6,19.8,9000000
Ahmedabad,E009,Hydraulic Waste Loader,6,5,16.6,7500000
Kolkata,E009,Hydraulic Waste Loader,7,5,16.5,7500000
Surat,E009,Hydraulic Waste Loader,4,3,11.6,4500000
Pune,E009,Hydraulic Waste Loader,4,3,10.9,4500000
Lucknow,E009,Hydraulic Waste Loader,3,3,9.3,4500000
Jaipur,E009,Hydraulic Waste Loader,3,3,9.1,4500000
Kanpur,E009,Hydraulic Waste Loader,3,2,8.8,3000000
Nagpur,E009,Hydraulic Waste Loader,2,2,7.4,3000000
Indore,E009,Hydraulic Waste Loader,2,2,7.2,3000000
Patna,E009,Hydraulic Waste Loader,2,2,7.1,3000000
Coimbatore,E009,Hydraulic Waste Loader,2,2,7.1,3000000
Visakhapatnam,E009,Hydraulic Waste Loader,2,2,7.0,3000000
Thane,E009,Hydraulic Waste Loader,2,2,6.9,3000000
Ludhiana,E009,Hydraulic Waste Loader,2,2,6.8,3000000
Faridabad,E009,Hydraulic Waste Loader,2,2,6.7,3000000
Nashik,E009,Hydraulic Waste Loader,2,2,5.7,3000000
Agra,E009,Hydraulic Waste Loader,2,2,5.7,3000000
Asansol,E009,Hydraulic Waste Loader,1,1,5.2,1500000
Howrah,E009,Hydraulic Waste Loader,1,1,5.1,1500000
Madurai,E009,Hydraulic Waste Loader,1,1,4.5,1500000
Varanasi,E009,Hydraulic Waste Loader,1,1,4.4,1500000
Jabalpur,E009,Hydraulic Waste Loader,1,1,4.3,1500000
