municipality,equipment_id,equipment_name,predicted_demand,allocated_stock,procurement_needed,urgency_level,unit_cost_lakhs,estimated_procurement_cost,annual_budget_lakhs,budget_feasible
Ludhiana,E002,Mini Garbage Tipper,2,2,0,LOW,12,0,62000,YES
Howrah,E002,Mini Garbage Tipper,2,2,0,LOW,12,0,51000,YES
Patna,E002,Mini Garbage Tipper,2,2,0,LOW,12,0,52000,YES
Agra,E002,Mini Garbage Tipper,2,2,0,LOW,12,0,53000,YES
Nashik,E002,Mini Garbage Tipper,2,2,0,LOW,12,0,58000,YES
Varanasi,E002,Mini Garbage Tipper,2,2,0,LOW,12,0,47000,YES
Madurai,E002,Mini Garbage Tipper,2,2,0,LOW,12,0,51000,YES
Amritsar,E002,Mini Garbage Tipper,1,1,0,LOW,12,0,46000,YES
Aurangabad,E002,Mini Garbage Tipper,1,1,0,LOW,12,0,45000,YES
Kochi,E002,Mini Garbage Tipper,1,1,0,LOW,12,0,52000,YES
Vijayawada,E002,Mini Garbage Tipper,1,1,0,LOW,12,0,43000,YES
Jabalpur,E002,Mini Garbage Tipper,1,1,0,LOW,12,0,44000,YES
Bhubaneswar,E002,Mini Garbage Tipper,1,1,0,LOW,12,0,42000,YES
Srinagar,E002,Mini Garbage Tipper,1,1,0,LOW,12,0,39000,YES
Raipur,E002,Mini Garbage Tipper,1,1,0,LOW,12,0,41000,YES
Mysuru,E002,Mini Garbage Tipper,1,1,0,LOW,12,0,42000,YES
Ranchi,E002,Mini Garbage Tipper,1,1,0,LOW,12,0,38000,YES
Jodhpur,E002,Mini Garbage Tipper,1,1,0,LOW,12,0,41000,YES
Siliguri,E002,Mini Garbage Tipper,1,1,0,LOW,12,0,30000,YES
Gwalior,E002,Mini Garbage Tipper,1,1,0,LOW,12,0,37000,YES
Guwahati,E002,Mini Garbage Tipper,1,1,0,LOW,12,0,35000,YES
Durgapur,E002,Mini Garbage Tipper,1,1,0,LOW,12,0,27000,YES
Dehradun,E002,Mini Garbage Tipper,1,1,0,LOW,12,0,36000,YES
Hubli,E002,Mini Garbage Tipper,1,1,0,LOW,12,0,33000,YES
Udaipur,E002,Mini Garbage Tipper,1,1,0,LOW,12,0,28000,YES
Kharagpur,E002,Mini Garbage Tipper,1,1,0,LOW,12,0,17000,YES
Tirupati,E002,Mini Garbage Tipper,1,1,0,LOW,12,0,24000,YES
Malda,E002,Mini Garbage Tipper,1,1,0,LOW,12,0,14000,YES
Haldia,E002,Mini Garbage Tipper,1,1,0,LOW,12,0,15000,YES
Shimla,E002,Mini Garbage Tipper,1,1,0,LOW,12,0,16000,YES
Panaji,E002,Mini Garbage Tipper,1,1,0,LOW,12,0,22000,YES
Delhi,E003,Refuse Collector Vehicle,20,7,13,MEDIUM,18,234,650000,YES
Mumbai,E003,Refuse Collector Vehicle,14,5,9,MEDIUM,18,162,500000,YES
Bengaluru,E003,Refuse Collector Vehicle,11,5,6,MEDIUM,18,108,320000,YES
Chennai,E003,Refuse Collector Vehicle,10,4,6,MEDIUM,18,108,310000,YES
Hyderabad,E003,Refuse Collector Vehicle,9,4,5,MEDIUM,18,90,280000,YES
Kolkata,E003,Refuse Collector Vehicle,8,4,4,MEDIUM,18,72,210000,YES
Ahmedabad,E003,Refuse Collector Vehicle,7,3,4,MEDIUM,18,72,230000,YES
Pune,E003,Refuse Collector Vehicle,5,3,2,MEDIUM,18,36,120000,YES
Surat,E003,Refuse Collector Vehicle,5,2,3,MEDIUM,18,54,140000,YES
Lucknow,E003,Refuse Collector Vehicle,3,2,1,LOW,18,18,95000,YES
Jaipur,E003,Refuse Collector Vehicle,3,2,1,LOW,18,18,98000,YES
Thane,E003,Refuse Collector Vehicle,3,2,1,LOW,18,18,76000,YES
Kanpur,E003,Refuse Collector Vehicle,3,2,1,LOW,18,18,85000,YES
Visakhapatnam,E003,Refuse Collector Vehicle,2,2,0,LOW,18,0,82000,YES
Indore,E003,Refuse Collector Vehicle,2,2,0,LOW,18,0,75000,YES
Coimbatore,E003,Refuse Collector Vehicle,2,2,0,LOW,18,0,70000,YES
Nagpur,E003,Refuse Collector Vehicle,2,2,0,LOW,18,0,70000,YES
Faridabad,E003,Refuse Collector Vehicle,2,2,0,LOW,18,0,68000,YES
Asansol,E003,Refuse Collector Vehicle,2,2,0,LOW,18,0,56000,YES
Ludhiana,E003,Refuse Collector Vehicle,2,2,0,LOW,18,0,62000,YES
Howrah,E003,Refuse Collector Vehicle,2,2,0,LOW,18,0,51000,YES
Patna,E003,Refuse Collector Vehicle,2,2,0,LOW,18,0,52000,YES
Agra,E003,Refuse Collector Vehicle,2,2,0,LOW,18,0,53000,YES
Nashik,E003,Refuse Collector Vehicle,2,2,0,LOW,18,0,58000,YES
Varanasi,E003,Refuse Collector Vehicle,2,2,0,LOW,18,0,47000,YES
Madurai,E003,Refuse Collector Vehicle,2,2,0,LOW,18,0,51000,YES
Amritsar,E003,Refuse Collector Vehicle,1,1,0,LOW,18,0,46000,YES
Aurangabad,E003,Refuse Collector Vehicle,1,1,0,LOW,18,0,45000,YES
Kochi,E003,Refuse Collector Vehicle,1,1,0,LOW,18,0,52000,YES
Vijayawada,E003,Refuse Collector Vehicle,1,1,0,LOW,18,0,43000,YES
Jabalpur,E003,Refuse Collector Vehicle,1,1,0,LOW,18,0,44000,YES
Bhubaneswar,E003,Refuse Collector Vehicle,1,1,0,LOW,18,0,42000,YES
Srinagar,E003,Refuse Collector Vehicle,1,1,0,LOW,18,0,39000,YES
Raipur,E003,Refuse Collector Vehicle,1,1,0,LOW,18,0,41000,YES
Mysuru,E003,Refuse Collector Vehicle,1,1,0,LOW,18,0,42000,YES
Ranchi,E003,Refuse Collector Vehicle,1,1,0,LOW,18,0,38000,YES
Jodhpur,E003,Refuse Collector Vehicle,1,1,0,LOW,18,0,41000,YES
Siliguri,E003,Refuse Collector Vehicle,1,1,0,LOW,18,0,30000,YES
Gwalior,E003,Refuse Collector Vehicle,1,1,0,LOW,18,0,37000,YES
Guwahati,E003,Refuse Collector Vehicle,1,1,0,LOW,18,0,35000,YES
Durgapur,E003,Refuse Collector Vehicle,1,1,0,LOW,18,0,27000,YES
Dehradun,E003,Refuse Collector Vehicle,1,1,0,LOW,18,0,36000,YES
Hubli,E003,Refuse Collector Vehicle,1,1,0,LOW,18,0,33000,YES
Udaipur,E003,Refuse Collector Vehicle,1,1,0,LOW,18,0,28000,YES
Kharagpur,E003,Refuse Collector Vehicle,1,1,0,LOW,18,0,17000,YES
Tirupati,E003,Refuse Collector Vehicle,1,1,0,LOW,18,0,24000,YES
Malda,E003,Refuse Collector Vehicle,1,1,0,LOW,18,0,14000,YES
Haldia,E003,Refuse Collector Vehicle,1,1,0,LOW,18,0,15000,YES
Shimla,E003,Refuse Collector Vehicle,1,1,0,LOW,18,0,16000,YES
Panaji,E003,Refuse Collector Vehicle,1,1,0,LOW,18,0,22000,YES
Delhi,E004,Portable Waste Compactor,19,17,2,LOW,9,18,650000,YES
Mumbai,E004,Portable Waste Compactor,13,12,1,LOW,9,9,500000,YES
Bengaluru,E004,Portable Waste Compactor,10,10,0,LOW,9,0,320000,YES
Chennai,E004,Portable Waste Compactor,9,9,0,LOW,9,0,310000,YES
Hyderabad,E004,Portable Waste Compactor,8,8,0,LOW,9,0,280000,YES
Kolkata,E004,Portable Waste Compactor,7,7,0,LOW,9,0,210000,YES
Ahmedabad,E004,Portable Waste Compactor,6,6,0,LOW,9,0,230000,YES
Pune,E004,Portable Waste Compactor,4,4,0,LOW,9,0,120000,YES
Surat,E004,Portable Waste Compactor,4,4,0,LOW,9,0,140000,YES
Lucknow,E004,Portable Waste Compactor,3,3,0,LOW,9,0,95000,YES
Jaipur,E004,Portable Waste Compactor,3,3,0,LOW,9,0,98000,YES
Thane,E004,Portable Waste Compactor,2,2,0,LOW,9,0,76000,YES
Kanpur,E004,Portable Waste Compactor,3,3,0,LOW,9,0,85000,YES
Visakhapatnam,E004,Portable Waste Compactor,2,2,0,LOW,9,0,82000,YES
Indore,E004,Portable Waste Compactor,2,2,0,LOW,9,0,75000,YES
Coimbatore,E004,Portable Waste Compactor,2,2,0,LOW,9,0,70000,YES
Nagpur,E004,Portable Waste Compactor,2,2,0,LOW,9,0,70000,YES
Faridabad,E004,Portable Waste Compactor,2,2,0,LOW,9,0,68000,YES
Ludhiana,E004,Portable Waste Compactor,2,2,0,LOW,9,0,62000,YES
Asansol,E004,Portable Waste Compactor,1,1,0,LOW,9,0,56000,YES
Patna,E004,Portable Waste Compactor,2,2,0,LOW,9,0,52000,YES
Howrah,E004,Portable Waste Compactor,1,1,0,LOW,9,0,51000,YES
Agra,E004,Portable Waste Compactor,2,2,0,LOW,9,0,53000,YES
Nashik,E004,Portable Waste Compactor,2,2,0,LOW,9,0,58000,YES
Varanasi,E004,Portable Waste Compactor,1,1,0,LOW,9,0,47000,YES
Madurai,E004,Portable Waste Compactor,1,1,0,LOW,9,0,51000,YES
Amritsar,E004,Portable Waste Compactor,1,1,0,LOW,9,0,46000,YES
Aurangabad,E004,Portable Waste Compactor,1,1,0,LOW,9,0,45000,YES
Kochi,E004,Portable Waste Compactor,1,1,0,LOW,9,0,52000,YES
Vijayawada,E004,Portable Waste Compactor,1,1,0,LOW,9,0,43000,YES
Jabalpur,E004,Portable Waste Compactor,1,1,0,LOW,9,0,44000,YES
Bhubaneswar,E004,Portable Waste Compactor,1,1,0,LOW,9,0,42000,YES
Srinagar,E004,Portable Waste Compactor,1,1,0,LOW,9,0,39000,YES
Raipur,E004,Portable Waste Compactor,1,1,0,LOW,9,0,41000,YES
Mysuru,E004,Portable Waste Compactor,1,1,0,LOW,9,0,42000,YES
Ranchi,E004,Portable Waste Compactor,1,1,0,LOW,9,0,38000,YES
Jodhpur,E004,Portable Waste Compactor,1,1,0,LOW,9,0,41000,YES
Siliguri,E004,Portable Waste Compactor,1,1,0,LOW,9,0,30000,YES
Gwalior,E004,Portable Waste Compactor,1,1,0,LOW,9,0,37000,YES
Guwahati,E004,Portable Waste Compactor,1,1,0,LOW,9,0,35000,YES
Durgapur,E004,Portable Waste Compactor,1,1,0,LOW,9,0,27000,YES
Dehradun,E004,Portable Waste Compactor,1,1,0,LOW,9,0,36000,YES
Hubli,E004,Portable Waste Compactor,1,1,0,LOW,9,0,33000,YES
Udaipur,E004,Portable Waste Compactor,1,1,0,LOW,9,0,28000,YES
Kharagpur,E004,Portable Waste Compactor,1,1,0,LOW,9,0,17000,YES
Tirupati,E004,Portable Waste Compactor,1,1,0,LOW,9,0,24000,YES
Malda,E004,Portable Waste Compactor,1,1,0,LOW,9,0,14000,YES
Haldia,E004,Portable Waste Compactor,1,1,0,LOW,9,0,15000,YES
Shimla,E004,Portable Waste Compactor,1,1,0,LOW,9,0,16000,YES
Panaji,E004,Portable Waste Compactor,1,1,0,LOW,9,0,22000,YES
Delhi,E005,Mechanical Road Sweeper,20,3,17,HIGH,18,306,650000,YES
Mumbai,E005,Mechanical Road Sweeper,15,2,13,HIGH,18,234,500000,YES
Bengaluru,E005,Mechanical Road Sweeper,13,2,11,HIGH,18,198,320000,YES
Chennai,E005,Mechanical Road Sweeper,11,2,9,HIGH,18,162,310000,YES
Hyderabad,E005,Mechanical Road Sweeper,10,2,8,HIGH,18,144,280000,YES
Kolkata,E005,Mechanical Road Sweeper,9,2,7,HIGH,18,126,210000,YES
Ahmedabad,E005,Mechanical Road Sweeper,9,2,7,HIGH,18,126,230000,YES
Pune,E005,Mechanical Road Sweeper,7,1,6,HIGH,18,108,120000,YES
Surat,E005,Mechanical Road Sweeper,7,1,6,HIGH,18,108,140000,YES
Jaipur,E005,Mechanical Road Sweeper,5,1,4,HIGH,18,72,98000,YES
Lucknow,E005,Mechanical Road Sweeper,5,1,4,HIGH,18,72,95000,YES
Visakhapatnam,E005,Mechanical Road Sweeper,4,1,3,HIGH,18,54,82000,YES
Kanpur,E005,Mechanical Road Sweeper,5,1,4,HIGH,18,72,85000,YES
Indore,E005,Mechanical Road Sweeper,4,1,3,HIGH,18,54,75000,YES
Coimbatore,E005,Mechanical Road Sweeper,4,1,3,HIGH,18,54,70000,YES
Thane,E005,Mechanical Road Sweeper,4,1,3,HIGH,18,54,76000,YES
Agra,E005,Mechanical Road Sweeper,3,1,2,MEDIUM,18,36,53000,YES
Nagpur,E005,Mechanical Road Sweeper,4,1,3,HIGH,18,54,70000,YES
Varanasi,E005,Mechanical Road Sweeper,3,1,2,MEDIUM,18,36,47000,YES
Madurai,E005,Mechanical Road Sweeper,3,1,2,MEDIUM,18,36,51000,YES
Amritsar,E005,Mechanical Road Sweeper,2,1,1,MEDIUM,18,18,46000,YES
Patna,E005,Mechanical Road Sweeper,3,1,2,MEDIUM,18,36,52000,YES
Kochi,E005,Mechanical Road Sweeper,2,1,1,MEDIUM,18,18,52000,YES
Faridabad,E005,Mechanical Road Sweeper,3,1,2,MEDIUM,18,36,68000,YES
Srinagar,E005,Mechanical Road Sweeper,2,1,1,MEDIUM,18,18,39000,YES
Ludhiana,E005,Mechanical Road Sweeper,3,1,2,MEDIUM,18,36,62000,YES
Nashik,E005,Mechanical Road Sweeper,3,1,2,MEDIUM,18,36,58000,YES
Mysuru,E005,Mechanical Road Sweeper,2,1,1,MEDIUM,18,18,42000,YES
Bhubaneswar,E005,Mechanical Road Sweeper,2,1,1,MEDIUM,18,18,42000,YES
Dehradun,E005,Mechanical Road Sweeper,2,1,1,MEDIUM,18,18,36000,YES
Howrah,E005,Mechanical Road Sweeper,2,1,1,MEDIUM,18,18,51000,YES
Guwahati,E005,Mechanical Road Sweeper,2,1,1,MEDIUM,18,18,35000,YES
Jodhpur,E005,Mechanical Road Sweeper,2,1,1,MEDIUM,18,18,41000,YES
Aurangabad,E005,Mechanical Road Sweeper,2,1,1,MEDIUM,18,18,45000,YES
Udaipur,E005,Mechanical Road Sweeper,1,1,0,LOW,18,0,28000,YES
Vijayawada,E005,Mechanical Road Sweeper,2,1,1,MEDIUM,18,18,43000,YES
Asansol,E005,Mechanical Road Sweeper,2,1,1,MEDIUM,18,18,56000,YES
Jabalpur,E005,Mechanical Road Sweeper,2,1,1,MEDIUM,18,18,44000,YES
Tirupati,E005,Mechanical Road Sweeper,1,1,0,LOW,18,0,24000,YES
Raipur,E005,Mechanical Road Sweeper,2,1,1,MEDIUM,18,18,41000,YES
Gwalior,E005,Mechanical Road Sweeper,2,1,1,MEDIUM,18,18,37000,YES
Ranchi,E005,Mechanical Road Sweeper,2,1,1,MEDIUM,18,18,38000,YES
Panaji,E005,Mechanical Road Sweeper,1,1,0,LOW,18,0,22000,YES
Shimla,E005,Mechanical Road Sweeper,1,1,0,LOW,18,0,16000,YES
Hubli,E005,Mechanical Road Sweeper,2,1,1,MEDIUM,18,18,33000,YES
Siliguri,E005,Mechanical Road Sweeper,1,1,0,LOW,18,0,30000,YES
Durgapur,E005,Mechanical Road Sweeper,1,1,0,LOW,18,0,27000,YES
Malda,E005,Mechanical Road Sweeper,1,1,0,LOW,18,0,14000,YES
Kharagpur,E005,Mechanical Road Sweeper,1,1,0,LOW,18,0,17000,YES
Haldia,E005,Mechanical Road Sweeper,1,1,0,LOW,18,0,15000,YES
Delhi,E006,Vacuum Road Sweeper,20,2,18,HIGH,22,396,650000,YES
Mumbai,E006,Vacuum Road Sweeper,16,2,14,HIGH,22,308,500000,YES
Bengaluru,E006,Vacuum Road Sweeper,15,2,13,HIGH,22,286,320000,YES
Chennai,E006,Vacuum Road Sweeper,13,1,12,HIGH,22,264,310000,YES
Hyderabad,E006,Vacuum Road Sweeper,12,1,11,HIGH,22,242,280000,YES
Kolkata,E006,Vacuum Road Sweeper,10,1,9,HIGH,22,198,210000,YES
Ahmedabad,E006,Vacuum Road Sweeper,10,1,9,HIGH,22,198,230000,YES
Pune,E006,Vacuum Road Sweeper,7,1,6,HIGH,22,132,120000,YES
Surat,E006,Vacuum Road Sweeper,8,1,7,HIGH,22,154,140000,YES
Jaipur,E006,Vacuum Road Sweeper,6,1,5,HIGH,22,110,98000,YES
Lucknow,E006,Vacuum Road Sweeper,6,1,5,HIGH,22,110,95000,YES
Visakhapatnam,E006,Vacuum Road Sweeper,4,1,3,HIGH,22,66,82000,YES
Kanpur,E006,Vacuum Road Sweeper,5,1,4,HIGH,22,88,85000,YES
Indore,E006,Vacuum Road Sweeper,5,1,4,HIGH,22,88,75000,YES
Coimbatore,E006,Vacuum Road Sweeper,4,1,3,HIGH,22,66,70000,YES
Thane,E006,Vacuum Road Sweeper,4,1,3,HIGH,22,66,76000,YES
Agra,E006,Vacuum Road Sweeper,3,1,2,MEDIUM,22,44,53000,YES
Nagpur,E006,Vacuum Road Sweeper,4,1,3,HIGH,22,66,70000,YES
Varanasi,E006,Vacuum Road Sweeper,3,1,2,MEDIUM,22,44,47000,YES
Patna,E006,Vacuum Road Sweeper,4,1,3,HIGH,22,66,52000,YES
Amritsar,E006,Vacuum Road Sweeper,3,1,2,MEDIUM,22,44,46000,YES
Kochi,E006,Vacuum Road Sweeper,3,1,2,MEDIUM,22,44,52000,YES
Faridabad,E006,Vacuum Road Sweeper,4,1,3,HIGH,22,66,68000,YES
Madurai,E006,Vacuum Road Sweeper,3,1,2,MEDIUM,22,44,51000,YES
Ludhiana,E006,Vacuum Road Sweeper,4,1,3,HIGH,22,66,62000,YES
Srinagar,E006,Vacuum Road Sweeper,2,1,1,MEDIUM,22,22,39000,YES
Bhubaneswar,E006,Vacuum Road Sweeper,3,1,2,MEDIUM,22,44,42000,YES
Nashik,E006,Vacuum Road Sweeper,3,1,2,MEDIUM,22,44,58000,YES
Howrah,E006,Vacuum Road Sweeper,3,1,2,MEDIUM,22,44,51000,YES
Mysuru,E006,Vacuum Road Sweeper,2,1,1,MEDIUM,22,22,42000,YES
Dehradun,E006,Vacuum Road Sweeper,2,1,1,MEDIUM,22,22,36000,YES
Aurangabad,E006,Vacuum Road Sweeper,3,1,2,MEDIUM,22,44,45000,YES
Guwahati,E006,Vacuum Road Sweeper,2,1,1,MEDIUM,22,22,35000,YES
Jodhpur,E006,Vacuum Road Sweeper,2,1,1,MEDIUM,22,22,41000,YES
Udaipur,E006,Vacuum Road Sweeper,1,1,0,LOW,22,0,28000,YES
Vijayawada,E006,Vacuum Road Sweeper,2,1,1,MEDIUM,22,22,43000,YES
Asansol,E006,Vacuum Road Sweeper,2,1,1,MEDIUM,22,22,56000,YES
Jabalpur,E006,Vacuum Road Sweeper,2,1,1,MEDIUM,22,22,44000,YES
Tirupati,E006,Vacuum Road Sweeper,1,1,0,LOW,22,0,24000,YES
Raipur,E006,Vacuum Road Sweeper,2,1,1,MEDIUM,22,22,41000,YES
Gwalior,E006,Vacuum Road Sweeper,2,1,1,MEDIUM,22,22,37000,YES
Ranchi,E006,Vacuum Road Sweeper,2,1,1,MEDIUM,22,22,38000,YES
Panaji,E006,Vacuum Road Sweeper,1,1,0,LOW,22,0,22000,YES
Shimla,E006,Vacuum Road Sweeper,1,1,0,LOW,22,0,16000,YES
Hubli,E006,Vacuum Road Sweeper,2,1,1,MEDIUM,22,22,33000,YES
Siliguri,E006,Vacuum Road Sweeper,1,1,0,LOW,22,0,30000,YES
Durgapur,E006,Vacuum Road Sweeper,2,1,1,MEDIUM,22,22,27000,YES
Malda,E006,Vacuum Road Sweeper,1,1,0,LOW,22,0,14000,YES
Kharagpur,E006,Vacuum Road Sweeper,1,1,0,LOW,22,0,17000,YES
Haldia,E006,Vacuum Road Sweeper,1,1,0,LOW,22,0,15000,YES
Delhi,E007,Dumper Placer Vehicle,19,7,12,MEDIUM,15,180,650000,YES
Mumbai,E007,Dumper Placer Vehicle,13,5,8,MEDIUM,15,120,500000,YES
Bengaluru,E007,Dumper Placer Vehicle,10,4,6,MEDIUM,15,90,320000,YES
Chennai,E007,Dumper Placer Vehicle,9,4,5,MEDIUM,15,75,310000,YES
Hyderabad,E007,Dumper Placer Vehicle,8,4,4,MEDIUM,15,60,280000,YES
Kolkata,E007,Dumper Placer Vehicle,7,4,3,MEDIUM,15,45,210000,YES
Ahmedabad,E007,Dumper Placer Vehicle,6,3,3,MEDIUM,15,45,230000,YES
Pune,E007,Dumper Placer Vehicle,4,2,2,MEDIUM,15,30,120000,YES
Surat,E007,Dumper Placer Vehicle,4,2,2,MEDIUM,15,30,140000,YES
Lucknow,E007,Dumper Placer Vehicle,3,2,1,LOW,15,15,95000,YES
Jaipur,E007,Dumper Placer Vehicle,3,2,1,LOW,15,15,98000,YES
Thane,E007,Dumper Placer Vehicle,2,2,0,LOW,15,0,76000,YES
Kanpur,E007,Dumper Placer Vehicle,3,2,1,LOW,15,15,85000,YES
Visakhapatnam,E007,Dumper Placer Vehicle,2,2,0,LOW,15,0,82000,YES
Indore,E007,Dumper Placer Vehicle,2,2,0,LOW,15,0,75000,YES
Coimbatore,E007,Dumper Placer Vehicle,2,2,0,LOW,15,0,70000,YES
Nagpur,E007,Dumper Placer Vehicle,2,2,0,LOW,15,0,70000,YES
Faridabad,E007,Dumper Placer Vehicle,2,2,0,LOW,15,0,68000,YES
Ludhiana,E007,Dumper Placer Vehicle,2,2,0,LOW,15,0,62000,YES
Asansol,E007,Dumper Placer Vehicle,1,1,0,LOW,15,0,56000,YES
Patna,E007,Dumper Placer Vehicle,2,1,1,MEDIUM,15,15,52000,YES
Howrah,E007,Dumper Placer Vehicle,1,1,0,LOW,15,0,51000,YES
Agra,E007,Dumper Placer Vehicle,2,1,1,MEDIUM,15,15,53000,YES
Nashik,E007,Dumper Placer Vehicle,2,1,1,MEDIUM,15,15,58000,YES
Varanasi,E007,Dumper Placer Vehicle,1,1,0,LOW,15,0,47000,YES
Madurai,E007,Dumper Placer Vehicle,1,1,0,LOW,15,0,51000,YES
Amritsar,E007,Dumper Placer Vehicle,1,1,0,LOW,15,0,46000,YES
Aurangabad,E007,Dumper Placer Vehicle,1,1,0,LOW,15,0,45000,YES
Kochi,E007,Dumper Placer Vehicle,1,1,0,LOW,15,0,52000,YES
