municipality,equipment_id,equipment_name,predicted_demand
Mumbai,E060,Water Tanker,18
Mumbai,E061,Pipeline Leakage Detector,16
Mumbai,E062,Portable Chlorination Unit,18
Mumbai,E063,Water Pumping Station Motor,18
Mumbai,E064,Valve Testing Machine,16
Mumbai,E065,Pipe Pressure Monitoring Unit,16
Mumbai,E066,Water Quality Testing Kit,18
Mumbai,E067,Borewell Cleaning Machine,16
Mumbai,E068,Portable Water Storage Tank,14
Mumbai,E069,Pipeline Repair Vehicle,18
Mumbai,E070,Portable Pump Controller,14
Mumbai,E071,Water Meter Calibration Unit,14
Mumbai,E072,Pipeline Inspection Camera,16
Mumbai,E073,Reservoir Cleaning Machine,16
Mumbai,E074,Water Purification Mobile Unit,18
Mumbai,E075,Portable Pipeline Flusher,16
Mumbai,E076,Hydraulic Pipe Cutter,14
Mumbai,E077,Portable Water Pump Unit,16
Mumbai,E078,Emergency Water Supply Vehicle,18
Mumbai,E079,Smart Water Monitoring Sensor,16
Mumbai,E080,Water Pipeline Maintenance Kit,14
Mumbai,E081,Hydraulic Excavator,16
Mumbai,E082,Mini Excavator,15
Mumbai,E083,Backhoe Loader,20
Mumbai,E084,Wheel Loader,15
Mumbai,E085,Track Mounted Excavator,20
Mumbai,E086,Road Roller,15
Mumbai,E087,Vibratory Road Roller,15
Mumbai,E088,Asphalt Paver Machine,16
Mumbai,E089,Concrete Mixer Machine,7
Mumbai,E090,Concrete Vibrator,6
Mumbai,E091,Asphalt Cutter,13
Mumbai,E092,Road Marking Machine,13
Mumbai,E093,Concrete Cutting Machine,7
Mumbai,E094,Crack Sealing Machine,13
Mumbai,E095,Tipper Truck,20
Mumbai,E096,Dump Truck,20
Mumbai,E097,Tyre Mounted Mobile Crane,8
Mumbai,E098,Portable Concrete Pump,7
Mumbai,E099,Hydraulic Breaker,16
Mumbai,E100,Road Surface Milling Machine,15
Mumbai,E101,Portable Generator for Road Work,6
Mumbai,E102,Traffic Cone Deployment Unit,11
Mumbai,E103,Road Repair Patch Machine,13
Mumbai,E104,Curb Stone Laying Machine,6
Mumbai,E105,Pavement Compactor,13
Mumbai,E106,Diesel Generator Set,18
Mumbai,E107,Portable Generator,9
Mumbai,E108,Street Light Maintenance Lift,15
Mumbai,E109,Transformer Maintenance Vehicle,18
Mumbai,E110,Electric Cable Locator,13
Mumbai,E111,Underground Fault Detector,13
Mumbai,E112,Portable Tower Light,0
Mumbai,E113,Smart Street Light Controller,13
Mumbai,E114,Electrical Maintenance Van,16
Mumbai,E115,Portable Solar Lighting Unit,0
Mumbai,E116,Mobile Repair Van,20
Mumbai,E117,Voltage Monitoring Device,14
Mumbai,E118,Underground Cable Repair Kit,11
Mumbai,E119,Portable Battery Backup Unit,8
Mumbai,E120,Smart Utility Monitoring Console,20
Mumbai,E121,Portable Toilet Unit,16
Mumbai,E122,Mobile Toilet Van,16
Mumbai,E123,Public Toilet Cleaning Machine,20
Mumbai,E124,High Pressure Washer,20
Mumbai,E125,Disinfection Sprayer Unit,16
Mumbai,E126,Fogging Machine,15
Mumbai,E127,Portable Cleaning Cart,17
Mumbai,E128,Manual Cleaning Trolley,17
Mumbai,E129,Portable Hand Wash Station,14
Mumbai,E130,Sanitary Waste Disposal Unit,13
Mumbai,E131,Portable Urinal Unit,14
Mumbai,E132,Public Washroom Maintenance Vehicle,20
Mumbai,E133,Drain Disinfection Unit,15
Mumbai,E134,Portable Steam Cleaning Machine,14
Mumbai,E135,Street Disinfection Vehicle,13
Mumbai,E136,Biohazard Disposal Container,13
Mumbai,E137,Portable Sanitation Kiosk,14
Mumbai,E138,Municipal Cleaning Utility Vehicle,20
Mumbai,E139,Fire Tender Vehicle,20
Mumbai,E140,Portable Rescue Boat,0
Mumbai,E141,Emergency Communication Van,16
Mumbai,E142,Portable Medical Response Unit,18
Mumbai,E143,Emergency Water Pump,10
Mumbai,E144,Debris Removal Loader,18
Mumbai,E145,Portable Lighting Tower,0
Mumbai,E146,Emergency Generator Unit,16
Mumbai,E147,Portable Emergency Shelter Unit,0
Mumbai,E148,Hydraulic Rescue Cutter,0
Mumbai,E149,Emergency Evacuation Vehicle,20
Mumbai,E150,Portable Public Warning System,6
Mumbai,E151,Flood Monitoring Sensor,9
Mumbai,E152,Emergency Drone Surveillance Unit,20
Mumbai,E153,Portable Life Support Kit,6
Mumbai,E154,Disaster Recovery Crane,18
Mumbai,E155,Emergency Ambulance Van,20
Mumbai,E156,Portable Command Center Unit,16
Mumbai,E157,Rapid Response Vehicle,20
Mumbai,E158,Emergency Traffic Diversion Unit,11
Mumbai,E159,Portable Search Light Unit,0
Mumbai,E160,Disaster Supply Transport Vehicle,20
Mumbai,E161,Sewage Treatment Plant Pump,19
Mumbai,E162,Portable Laboratory Testing Unit,20
Mumbai,E163,Air Quality Monitoring Station,13
Mumbai,E164,Noise Pollution Monitoring Unit,11
Mumbai,E165,Construction Debris Crusher,6
Mumbai,E166,Smart Parking Monitoring Unit,11
Mumbai,E167,Municipal Survey Drone,20
Mumbai,E168,GIS Mapping Workstation,20
Mumbai,E169,Portable Air Compressor,6
Mumbai,E170,Industrial Pollution Response Unit,0
Mumbai,E171,Smart Civic Monitoring Console,20
Mumbai,E172,Portable Municipal Command Vehicle,20
Mumbai,E173,Integrated Utility Maintenance Vehicle,20
Delhi,E001,Garbage Compactor Truck,20
Delhi,E002,Mini Garbage Tipper,20
Delhi,E003,Refuse Collector Vehicle,20
Delhi,E004,Portable Waste Compactor,19
Delhi,E005,Mechanical Road Sweeper,20
Delhi,E006,Vacuum Road Sweeper,20
Delhi,E007,Dumper Placer Vehicle,19
Delhi,E008,Waste Collection Container,19
Delhi,E009,Hydraulic Waste Loader,19
Delhi,E010,Transfer Station Container,19
Delhi,E011,Plastic Baler Machine,17
Delhi,E012,Organic Waste Shredder,19
Delhi,E013,Bio Waste Composting Machine,19
Delhi,E014,Portable Garbage Bin Set,17
Delhi,E015,Skid Steer Loader,19
Delhi,E016,Waste Conveyor Belt Unit,17
Delhi,E017,Industrial Waste Crusher,10
Delhi,E018,Dumpster Container,17
Delhi,E019,Front Loader Waste Vehicle,19
Delhi,E020,Waste Segregation Conveyor,17
Delhi,E021,Leaf Collection Vacuum Unit,14
Delhi,E022,Portable Bin Lifter,17
Delhi,E023,Waste Hopper Unit,14
Delhi,E024,Biomedical Waste Carrier,19
Delhi,E025,Municipal Waste Crane,19
Delhi,E026,Street Cleaning Cart,14
Delhi,E027,Waste Transfer Trailer,19
Delhi,E028,Mobile Waste Collection Unit,19
Delhi,E029,Truck Mounted Suction Cum Jetting Machine,20
Delhi,E030,Sewer Jetting Machine,20
Delhi,E031,High Pressure Sewer Cleaner,20
Delhi,E032,Root Cutting System for Sewer Line,18
Delhi,E033,Sewer Inspection Camera,18
Delhi,E034,Portable Pipeline CCTV Unit,18
Delhi,E035,Vacuum Sludge Tanker,20
Delhi,E036,Manhole Desilting Machine,20
Delhi,E037,Sewer Cleaning Robot,20
Delhi,E038,Portable Sludge Pump,20
Delhi,E039,Drain Rodding Machine,20
Delhi,E040,Underground Pipe Locator,16
Delhi,E041,Drain Cleaning Machine,20
Delhi,E042,Portable Dewatering Pump,20
Delhi,E043,High Capacity Pump Set,20
Delhi,E044,Storm Water Pump,20
Delhi,E045,Submersible Pump Unit,18
Delhi,E046,Canal Desilting Machine,20
Delhi,E047,Portable Flood Barrier Unit,8
Delhi,E048,Emergency Drainage Vehicle,20
Delhi,E049,Drain Excavation Unit,8
Delhi,E050,Portable Sandbag Filling Machine,7
Delhi,E051,Drain Jetting Machine,20
Delhi,E052,Drain Inspection Camera,18
Delhi,E053,Portable Mud Suction Unit,18
Delhi,E054,Drain Clearing Robot,20
Delhi,E055,Portable Emergency Pump,8
Delhi,E056,Flood Recovery Vehicle,18
Delhi,E057,Storm Drain Vacuum Cleaner,20
Delhi,E058,Portable Water Diversion Unit,7
Delhi,E059,Chassis Mounted Water Tanker,20
Delhi,E060,Water Tanker,20
Delhi,E061,Pipeline Leakage Detector,19
Delhi,E062,Portable Chlorination Unit,20
Delhi,E063,Water Pumping Station Motor,20
Delhi,E064,Valve Testing Machine,19
Delhi,E065,Pipe Pressure Monitoring Unit,19
Delhi,E066,Water Quality Testing Kit,20
Delhi,E067,Borewell Cleaning Machine,19
Delhi,E068,Portable Water Storage Tank,17
Delhi,E069,Pipeline Repair Vehicle,20
Delhi,E070,Portable Pump Controller,17
Delhi,E071,Water Meter Calibration Unit,17
Delhi,E072,Pipeline Inspection Camera,19
Delhi,E073,Reservoir Cleaning Machine,19
Delhi,E074,Water Purification Mobile Unit,20
Delhi,E075,Portable Pipeline Flusher,19
Delhi,E076,Hydraulic Pipe Cutter,17
Delhi,E077,Portable Water Pump Unit,19
Delhi,E078,Emergency Water Supply Vehicle,20
Delhi,E079,Smart Water Monitoring Sensor,19
Delhi,E080,Water Pipeline Maintenance Kit,17
Delhi,E081,Hydraulic Excavator,20
Delhi,E082,Mini Excavator,20
Delhi,E083,Backhoe Loader,20
Delhi,E084,Wheel Loader,20
Delhi,E085,Track Mounted Excavator,20
Delhi,E086,Road Roller,20
Delhi,E087,Vibratory Road Roller,20
Delhi,E088,Asphalt Paver Machine,20
Delhi,E089,Concrete Mixer Machine,10
Delhi,E090,Concrete Vibrator,8
Delhi,E091,Asphalt Cutter,19
Delhi,E092,Road Marking Machine,19
Delhi,E093,Concrete Cutting Machine,10
Delhi,E094,Crack Sealing Machine,19
Delhi,E095,Tipper Truck,20
Delhi,E096,Dump Truck,20
Delhi,E097,Tyre Mounted Mobile Crane,11
Delhi,E098,Portable Concrete Pump,10
Delhi,E099,Hydraulic Breaker,18
Delhi,E100,Road Surface Milling Machine,20
Delhi,E101,Portable Generator for Road Work,8
Delhi,E102,Traffic Cone Deployment Unit,17
Delhi,E103,Road Repair Patch Machine,19
Delhi,E104,Curb Stone Laying Machine,8
Delhi,E105,Pavement Compactor,19
Delhi,E106,Diesel Generator Set,20
Delhi,E107,Portable Generator,9
Delhi,E108,Street Light Maintenance Lift,20
Delhi,E109,Transformer Maintenance Vehicle,20
Delhi,E110,Electric Cable Locator,19
Delhi,E111,Underground Fault Detector,19
Delhi,E112,Portable Tower Light,0
Delhi,E113,Smart Street Light Controller,19
Delhi,E114,Electrical Maintenance Van,19
Delhi,E115,Portable Solar Lighting Unit,0
Delhi,E116,Mobile Repair Van,20
Delhi,E117,Voltage Monitoring Device,17
Delhi,E118,Underground Cable Repair Kit,17
Delhi,E119,Portable Battery Backup Unit,8
Delhi,E120,Smart Utility Monitoring Console,20
Delhi,E121,Portable Toilet Unit,19
Delhi,E122,Mobile Toilet Van,19
Delhi,E123,Public Toilet Cleaning Machine,20
Delhi,E124,High Pressure Washer,20
Delhi,E125,Disinfection Sprayer Unit,19
Delhi,E126,Fogging Machine,18
Delhi,E127,Portable Cleaning Cart,20
Delhi,E128,Manual Cleaning Trolley,20
Delhi,E129,Portable Hand Wash Station,17
Delhi,E130,Sanitary Waste Disposal Unit,19
Delhi,E131,Portable Urinal Unit,17
Delhi,E132,Public Washroom Maintenance Vehicle,20
Delhi,E133,Drain Disinfection Unit,18
Delhi,E134,Portable Steam Cleaning Machine,17
Delhi,E135,Street Disinfection Vehicle,19
Delhi,E136,Biohazard Disposal Container,19
Delhi,E137,Portable Sanitation Kiosk,17
Delhi,E138,Municipal Cleaning Utility Vehicle,20
Delhi,E139,Fire Tender Vehicle,20
Delhi,E140,Portable Rescue Boat,0
Delhi,E141,Emergency Communication Van,19
Delhi,E142,Portable Medical Response Unit,20
Delhi,E143,Emergency Water Pump,10
Delhi,E144,Debris Removal Loader,20
Delhi,E145,Portable Lighting Tower,0
Delhi,E146,Emergency Generator Unit,19
Delhi,E147,Portable Emergency Shelter Unit,0
Delhi,E148,Hydraulic Rescue Cutter,0
Delhi,E149,Emergency Evacuation Vehicle,20
Delhi,E150,Portable Public Warning System,8
Delhi,E151,Flood Monitoring Sensor,8
Delhi,E152,Emergency Drone Surveillance Unit,20
Delhi,E153,Portable Life Support Kit,10
Delhi,E154,Disaster Recovery Crane,20
Delhi,E155,Emergency Ambulance Van,20
Delhi,E156,Portable Command Center Unit,19
Delhi,E157,Rapid Response Vehicle,20
Delhi,E158,Emergency Traffic Diversion Unit,17
Delhi,E159,Portable Search Light Unit,0
Delhi,E160,Disaster Supply Transport Vehicle,20
Delhi,E161,Sewage Treatment Plant Pump,20
Delhi,E162,Portable Laboratory Testing Unit,20
Delhi,E163,Air Quality Monitoring Station,19
Delhi,E164,Noise Pollution Monitoring Unit,17
Delhi,E165,Construction Debris Crusher,10
Delhi,E166,Smart Parking Monitoring Unit,17
Delhi,E167,Municipal Survey Drone,20
Delhi,E168,GIS Mapping Workstation,20
Delhi,E169,Portable Air Compressor,8
Delhi,E170,Industrial Pollution Response Unit,0
Delhi,E171,Smart Civic Monitoring Console,20
Delhi,E172,Portable Municipal Command Vehicle,20
Delhi,E173,Integrated Utility Maintenance Vehicle,20
Kolkata,E001,Garbage Compactor Truck,9
Kolkata,E002,Mini Garbage Tipper,8
Kolkata,E003,Refuse Collector Vehicle,8
Kolkata,E004,Portable Waste Compactor,7
Kolkata,E005,Mechanical Road Sweeper,9
Kolkata,E006,Vacuum Road Sweeper,10
Kolkata,E007,Dumper Placer Vehicle,7
Kolkata,E008,Waste Collection Container,7
Kolkata,E009,Hydraulic Waste Loader,7
Kolkata,E010,Transfer Station Container,7
Kolkata,E011,Plastic Baler Machine,6
Kolkata,E012,Organic Waste Shredder,7
Kolkata,E013,Bio Waste Composting Machine,7
Kolkata,E014,Portable Garbage Bin Set,6
Kolkata,E015,Skid Steer Loader,7
Kolkata,E016,Waste Conveyor Belt Unit,6
Kolkata,E017,Industrial Waste Crusher,5
Kolkata,E018,Dumpster Container,6
Kolkata,E019,Front Loader Waste Vehicle,7
Kolkata,E020,Waste Segregation Conveyor,6
Kolkata,E021,Leaf Collection Vacuum Unit,6
Kolkata,E022,Portable Bin Lifter,6
Kolkata,E023,Waste Hopper Unit,5
Kolkata,E024,Biomedical Waste Carrier,7
Kolkata,E025,Municipal Waste Crane,7
Kolkata,E026,Street Cleaning Cart,6
Kolkata,E027,Waste Transfer Trailer,7
Kolkata,E028,Mobile Waste Collection Unit,7
Kolkata,E029,Truck Mounted Suction Cum Jetting Machine,20
Kolkata,E030,Sewer Jetting Machine,20
Kolkata,E031,High Pressure Sewer Cleaner,20
Kolkata,E032,Root Cutting System for Sewer Line,10
Kolkata,E033,Sewer Inspection Camera,10
Kolkata,E034,Portable Pipeline CCTV Unit,10
Kolkata,E035,Vacuum Sludge Tanker,20
Kolkata,E036,Manhole Desilting Machine,18
Kolkata,E037,Sewer Cleaning Robot,11
Kolkata,E038,Portable Sludge Pump,15
Kolkata,E039,Drain Rodding Machine,15
Kolkata,E040,Underground Pipe Locator,9
Kolkata,E041,Drain Cleaning Machine,11
Kolkata,E042,Portable Dewatering Pump,11
Kolkata,E043,High Capacity Pump Set,11
Kolkata,E044,Storm Water Pump,13
Kolkata,E045,Submersible Pump Unit,10
Kolkata,E046,Canal Desilting Machine,11
Kolkata,E047,Portable Flood Barrier Unit,8
Kolkata,E048,Emergency Drainage Vehicle,11
Kolkata,E049,Drain Excavation Unit,8
Kolkata,E050,Portable Sandbag Filling Machine,7
Kolkata,E051,Drain Jetting Machine,11
Kolkata,E052,Drain Inspection Camera,10
Kolkata,E053,Portable Mud Suction Unit,10
Kolkata,E054,Drain Clearing Robot,11
Kolkata,E055,Portable Emergency Pump,8
Kolkata,E056,Flood Recovery Vehicle,10
Kolkata,E057,Storm Drain Vacuum Cleaner,11
Kolkata,E058,Portable Water Diversion Unit,7
Kolkata,E059,Chassis Mounted Water Tanker,13
Kolkata,E060,Water Tanker,13
Kolkata,E061,Pipeline Leakage Detector,11
Kolkata,E062,Portable Chlorination Unit,13
Kolkata,E063,Water Pumping Station Motor,13
Kolkata,E064,Valve Testing Machine,11
Kolkata,E065,Pipe Pressure Monitoring Unit,11
Kolkata,E066,Water Quality Testing Kit,13
Kolkata,E067,Borewell Cleaning Machine,11
Kolkata,E068,Portable Water Storage Tank,10
Kolkata,E069,Pipeline Repair Vehicle,13
Kolkata,E070,Portable Pump Controller,10
Kolkata,E071,Water Meter Calibration Unit,10
Kolkata,E072,Pipeline Inspection Camera,11
Kolkata,E073,Reservoir Cleaning Machine,11
Kolkata,E074,Water Purification Mobile Unit,13
Kolkata,E075,Portable Pipeline Flusher,11
Kolkata,E076,Hydraulic Pipe Cutter,10
Kolkata,E077,Portable Water Pump Unit,11
Kolkata,E078,Emergency Water Supply Vehicle,13
Kolkata,E079,Smart Water Monitoring Sensor,11
Kolkata,E080,Water Pipeline Maintenance Kit,10
Kolkata,E081,Hydraulic Excavator,10
Kolkata,E082,Mini Excavator,9
Kolkata,E083,Backhoe Loader,20
Kolkata,E084,Wheel Loader,9
Kolkata,E085,Track Mounted Excavator,17
Kolkata,E086,Road Roller,9
Kolkata,E087,Vibratory Road Roller,9
Kolkata,E088,Asphalt Paver Machine,10
Kolkata,E089,Concrete Mixer Machine,6
Kolkata,E090,Concrete Vibrator,5
Kolkata,E091,Asphalt Cutter,8
Kolkata,E092,Road Marking Machine,8
Kolkata,E093,Concrete Cutting Machine,6
Kolkata,E094,Crack Sealing Machine,8
Kolkata,E095,Tipper Truck,18
Kolkata,E096,Dump Truck,18
Kolkata,E097,Tyre Mounted Mobile Crane,6
Kolkata,E098,Portable Concrete Pump,6
Kolkata,E099,Hydraulic Breaker,13
Kolkata,E100,Road Surface Milling Machine,9
Kolkata,E101,Portable Generator for Road Work,5
Kolkata,E102,Traffic Cone Deployment Unit,7
Kolkata,E103,Road Repair Patch Machine,8
Kolkata,E104,Curb Stone Laying Machine,5
Kolkata,E105,Pavement Compactor,8
Kolkata,E106,Diesel Generator Set,13
Kolkata,E107,Portable Generator,9
Kolkata,E108,Street Light Maintenance Lift,9
Kolkata,E109,Transformer Maintenance Vehicle,13
Kolkata,E110,Electric Cable Locator,8
Kolkata,E111,Underground Fault Detector,8
Kolkata,E112,Portable Tower Light,0
Kolkata,E113,Smart Street Light Controller,8
Kolkata,E114,Electrical Maintenance Van,11
Kolkata,E115,Portable Solar Lighting Unit,0
Kolkata,E116,Mobile Repair Van,17
Kolkata,E117,Voltage Monitoring Device,10
Kolkata,E118,Underground Cable Repair Kit,7
Kolkata,E119,Portable Battery Backup Unit,8
Kolkata,E120,Smart Utility Monitoring Console,20
Kolkata,E121,Portable Toilet Unit,11
Kolkata,E122,Mobile Toilet Van,11
Kolkata,E123,Public Toilet Cleaning Machine,19
Kolkata,E124,High Pressure Washer,20
Kolkata,E125,Disinfection Sprayer Unit,11
Kolkata,E126,Fogging Machine,10
Kolkata,E127,Portable Cleaning Cart,13
Kolkata,E128,Manual Cleaning Trolley,13
Kolkata,E129,Portable Hand Wash Station,10
Kolkata,E130,Sanitary Waste Disposal Unit,7
Kolkata,E131,Portable Urinal Unit,10
Kolkata,E132,Public Washroom Maintenance Vehicle,19
Kolkata,E133,Drain Disinfection Unit,10
Kolkata,E134,Portable Steam Cleaning Machine,10
Kolkata,E135,Street Disinfection Vehicle,8
Kolkata,E136,Biohazard Disposal Container,7
Kolkata,E137,Portable Sanitation Kiosk,10
Kolkata,E138,Municipal Cleaning Utility Vehicle,20
Kolkata,E139,Fire Tender Vehicle,20
Kolkata,E140,Portable Rescue Boat,0
Kolkata,E141,Emergency Communication Van,11
Kolkata,E142,Portable Medical Response Unit,13
Kolkata,E143,Emergency Water Pump,9
Kolkata,E144,Debris Removal Loader,15
Kolkata,E145,Portable Lighting Tower,0
Kolkata,E146,Emergency Generator Unit,11
Kolkata,E147,Portable Emergency Shelter Unit,0
Kolkata,E148,Hydraulic Rescue Cutter,0
Kolkata,E149,Emergency Evacuation Vehicle,19
Kolkata,E150,Portable Public Warning System,2
Kolkata,E151,Flood Monitoring Sensor,8
Kolkata,E152,Emergency Drone Surveillance Unit,16
Kolkata,E153,Portable Life Support Kit,2
Kolkata,E154,Disaster Recovery Crane,15
Kolkata,E155,Emergency Ambulance Van,19
Kolkata,E156,Portable Command Center Unit,11
Kolkata,E157,Rapid Response Vehicle,17
Kolkata,E158,Emergency Traffic Diversion Unit,7
Kolkata,E159,Portable Search Light Unit,0
Kolkata,E160,Disaster Supply Transport Vehicle,17
Kolkata,E161,Sewage Treatment Plant Pump,12
Kolkata,E162,Portable Laboratory Testing Unit,20
Kolkata,E163,Air Quality Monitoring Station,8
Kolkata,E164,Noise Pollution Monitoring Unit,7
Kolkata,E165,Construction Debris Crusher,5
Kolkata,E166,Smart Parking Monitoring Unit,7
Kolkata,E167,Municipal Survey Drone,20
Kolkata,E168,GIS Mapping Workstation,20
Kolkata,E169,Portable Air Compressor,5
Kolkata,E170,Industrial Pollution Response Unit,0
Kolkata,E171,Smart Civic Monitoring Console,20
Kolkata,E172,Portable Municipal Command Vehicle,20
Kolkata,E173,Integrated Utility Maintenance Vehicle,20
Bengaluru,E001,Garbage Compactor Truck,12
Bengaluru,E002,Mini Garbage Tipper,11
Bengaluru,E003,Refuse Collector Vehicle,11
Bengaluru,E004,Portable Waste Compactor,10
Bengaluru,E005,Mechanical Road Sweeper,13
Bengaluru,E006,Vacuum Road Sweeper,15
Bengaluru,E007,Dumper Placer Vehicle,10
Bengaluru,E008,Waste Collection Container,10
Bengaluru,E009,Hydraulic Waste Loader,10
Bengaluru,E010,Transfer Station Container,10
Bengaluru,E011,Plastic Baler Machine,8
Bengaluru,E012,Organic Waste Shredder,10
Bengaluru,E013,Bio Waste Composting Machine,10
Bengaluru,E014,Portable Garbage Bin Set,8
Bengaluru,E015,Skid Steer Loader,10
Bengaluru,E016,Waste Conveyor Belt Unit,8
Bengaluru,E017,Industrial Waste Crusher,5
Bengaluru,E018,Dumpster Container,8
Bengaluru,E019,Front Loader Waste Vehicle,10
Bengaluru,E020,Waste Segregation Conveyor,8
Bengaluru,E021,Leaf Collection Vacuum Unit,9
Bengaluru,E022,Portable Bin Lifter,8
Bengaluru,E023,Waste Hopper Unit,7
Bengaluru,E024,Biomedical Waste Carrier,10
Bengaluru,E025,Municipal Waste Crane,10
Bengaluru,E026,Street Cleaning Cart,9
Bengaluru,E027,Waste Transfer Trailer,10
Bengaluru,E028,Mobile Waste Collection Unit,10
Bengaluru,E029,Truck Mounted Suction Cum Jetting Machine,20
Bengaluru,E030,Sewer Jetting Machine,20
Bengaluru,E031,High Pressure Sewer Cleaner,20
Bengaluru,E032,Root Cutting System for Sewer Line,12
Bengaluru,E033,Sewer Inspection Camera,12
Bengaluru,E034,Portable Pipeline CCTV Unit,12
Bengaluru,E035,Vacuum Sludge Tanker,20
Bengaluru,E036,Manhole Desilting Machine,20
Bengaluru,E037,Sewer Cleaning Robot,14
Bengaluru,E038,Portable Sludge Pump,18
Bengaluru,E039,Drain Rodding Machine,18
Bengaluru,E040,Underground Pipe Locator,11
Bengaluru,E041,Drain Cleaning Machine,14
Bengaluru,E042,Portable Dewatering Pump,14
Bengaluru,E043,High Capacity Pump Set,14
Bengaluru,E044,Storm Water Pump,16
Bengaluru,E045,Submersible Pump Unit,12
Bengaluru,E046,Canal Desilting Machine,14
Bengaluru,E047,Portable Flood Barrier Unit,8
Bengaluru,E048,Emergency Drainage Vehicle,14
Bengaluru,E049,Drain Excavation Unit,8
Bengaluru,E050,Portable Sandbag Filling Machine,7
Bengaluru,E051,Drain Jetting Machine,14
Bengaluru,E052,Drain Inspection Camera,12
Bengaluru,E053,Portable Mud Suction Unit,12
Bengaluru,E054,Drain Clearing Robot,14
Bengaluru,E055,Portable Emergency Pump,8
Bengaluru,E056,Flood Recovery Vehicle,12
Bengaluru,E057,Storm Drain Vacuum Cleaner,14
Bengaluru,E058,Portable Water Diversion Unit,7
Bengaluru,E059,Chassis Mounted Water Tanker,15
Bengaluru,E060,Water Tanker,15
Bengaluru,E061,Pipeline Leakage Detector,13
Bengaluru,E062,Portable Chlorination Unit,15
Bengaluru,E063,Water Pumping Station Motor,15
Bengaluru,E064,Valve Testing Machine,13
Bengaluru,E065,Pipe Pressure Monitoring Unit,13
Bengaluru,E066,Water Quality Testing Kit,15
Bengaluru,E067,Borewell Cleaning Machine,13
Bengaluru,E068,Portable Water Storage Tank,12
Bengaluru,E069,Pipeline Repair Vehicle,15
Bengaluru,E070,Portable Pump Controller,12
Bengaluru,E071,Water Meter Calibration Unit,12
Bengaluru,E072,Pipeline Inspection Camera,13
Bengaluru,E073,Reservoir Cleaning Machine,13
Bengaluru,E074,Water Purification Mobile Unit,15
Bengaluru,E075,Portable Pipeline Flusher,13
Bengaluru,E076,Hydraulic Pipe Cutter,12
Bengaluru,E077,Portable Water Pump Unit,13
Bengaluru,E078,Emergency Water Supply Vehicle,15
Bengaluru,E079,Smart Water Monitoring Sensor,13
Bengaluru,E080,Water Pipeline Maintenance Kit,12
Bengaluru,E081,Hydraulic Excavator,15
Bengaluru,E082,Mini Excavator,13
Bengaluru,E083,Backhoe Loader,20
